Label,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Median Household Weekly Income,Non-School Qualifications (%),Postgraduate Degree (%),Graduate Diploma/Graduate Certificate (%),Bachelor Degree (%),Advanced Diploma/Diploma (%),Certificate (%),Non-School Qualifications - Inadequately described (%),Employed (no.),Unemployed (no.),Labour Force (no.),Unemployment rate (%),Participation rate (%),Not in the Labour Force (%),Labour Force Status not stated (%),Total population aged 15 years and over (no.),Weekly median advertised rent
Greystanes,13876,14251,28127,945,56.3,4.2,1.2,14.8,9.3,18.6,8.1,11972,693,12665,5.5,61.5,33.7,4.8,20597,500
Griffith,10053,10198,20251,791,52.5,1.6,1.0,8.4,6.1,20.5,15.1,8499,475,8974,5.3,59.0,30.5,10.6,15205,360
Guildford,11771,11432,23203,564,46.4,3.0,0.6,9.8,7.8,13.1,12.0,6389,809,7198,11.2,45.5,46.1,8.4,15823,450
Guildford West,11211,11125,22336,688,49.5,3.3,0.8,11.0,8.4,15.9,10.1,7886,805,8691,9.3,53.6,40.2,6.2,16206,455
Gundagai,1839,1793,3632,700,50.6,1.0,0.7,7.4,6.0,21.6,13.8,1582,73,1655,4.4,57.6,34.2,8.2,2873,290
Gunnedah,4750,4822,9572,784,53.1,1.4,1.1,7.7,6.1,23.9,12.7,3888,245,4133,5.9,57.1,35.2,7.8,7241,350
Gwandalan,3068,3004,6072,718,53.7,1.1,0.8,5.8,7.3,30.7,8.0,2346,203,2549,8.0,53.9,42.0,4.1,4728,400
Gymea,8989,9269,18258,1191,66.0,5.3,2.1,17.6,12.0,22.3,6.7,9211,322,9533,3.4,68.1,28.5,3.3,13992,640
Haberfield,7084,7235,14319,1257,68.4,11.3,2.9,25.7,9.0,11.0,8.5,7079,307,7386,4.2,66.0,28.4,5.5,11185,800
Halekulani,4836,4899,9735,649,54.3,1.0,0.8,5.8,7.8,28.0,11.0,3585,344,3929,8.8,50.5,43.3,6.2,7779,410
Hamilton,6269,6179,12448,878,64.0,5.8,2.6,19.6,8.6,17.8,9.6,5674,465,6139,7.6,61.2,32.3,6.5,10034,485
Harrington Park,11847,12224,24071,1096,58.6,3.0,1.6,12.1,10.7,24.1,7.1,10782,486,11268,4.3,71.2,24.9,3.9,15836,550
Hassall Grove,10839,11093,21932,903,53.2,3.2,0.8,14.8,8.9,18.1,7.5,9784,750,10534,7.1,66.3,29.2,4.5,15899,400
Hawks Nest,2661,2626,5287,630,59.1,2.0,1.4,8.6,9.7,25.9,11.6,1412,130,1542,8.4,33.9,60.3,5.8,4555,340
Hay,1511,1493,3004,697,49.2,0.7,0.7,6.0,6.3,18.9,16.7,1310,62,1372,4.5,55.9,31.5,12.6,2453,205
Haymarket,16090,15592,31682,1146,73.6,10.8,1.2,27.8,10.9,4.9,17.9,15124,1046,16170,6.5,61.8,23.6,14.6,26159,0
Hazelbrook,5636,5942,11578,888,68.1,6.1,3.4,16.7,12.0,23.0,7.0,5346,279,5625,5.0,62.4,33.4,4.1,9011,425
Heathcote,3274,3435,6709,1015,62.9,3.6,1.9,12.0,10.7,27.1,7.6,3212,130,3342,3.9,63.8,33.9,2.3,5238,600
Hebersham,9236,9732,18968,597,41.8,1.1,0.3,4.9,5.3,16.8,13.2,5760,872,6632,13.1,48.1,42.9,9.0,13786,340
Helensburgh,4691,4546,9237,1139,67.7,5.2,2.4,15.2,10.9,24.7,9.4,4636,176,4812,3.7,70.0,25.8,4.2,6871,580
Hexham,4178,4315,8493,654,45.6,0.8,0.5,4.3,5.6,24.7,9.8,3185,404,3589,11.3,52.7,41.6,5.7,6810,0
Hill Top,3187,3187,6374,851,57.3,1.7,1.4,7.3,8.9,29.5,8.6,2906,131,3037,4.3,65.0,29.8,5.2,4674,450
Hillsborough,11829,12255,24084,867,59.5,3.3,1.7,12.7,8.7,25.5,7.7,10899,773,11672,6.6,61.9,34.1,4.0,18851,0
Hillsdale,6023,6179,12202,817,59.1,6.4,1.2,15.5,8.6,15.1,12.2,5061,325,5386,6.0,57.4,34.5,8.1,9379,0
Hinchinbrook,6751,6746,13497,874,49.3,2.3,0.7,11.5,9.7,18.1,6.9,5552,453,6005,7.5,63.2,33.1,3.7,9501,480
Holroyd,16136,15137,31273,736,52.7,5.0,1.0,14.3,9.2,14.3,9.0,11434,1165,12599,9.2,56.1,38.5,5.3,22441,0
Holsworthy,11004,10780,21784,1109,61.8,5.6,1.5,16.8,10.7,20.4,6.9,10792,477,11269,4.2,70.4,25.2,4.4,16013,500
Homebush,9848,8759,18607,969,68.4,13.2,1.6,25.4,8.6,7.6,12.1,8150,707,8857,8.0,64.5,26.0,9.5,13725,620
Horningsea Park,6366,6634,13000,916,52.6,3.2,0.7,13.2,10.2,18.1,7.1,5359,307,5666,5.4,65.9,30.0,4.1,8596,530
Hornsby,5963,6119,12082,1032,70.5,12.3,2.7,25.8,10.5,11.6,7.6,5674,367,6041,6.0,65.9,29.6,4.4,9143,590
Horsley,4726,5007,9733,968,60.1,2.7,1.4,9.6,10.8,28.5,7.0,4273,208,4481,4.6,68.1,29.6,2.4,6584,490
Horsley Park,2417,2270,4687,966,52.8,2.0,0.5,8.6,6.8,21.7,13.4,2052,79,2131,3.7,58.1,32.7,9.0,3665,400
Hoxton Park,6366,6634,13000,916,52.6,3.2,0.7,13.2,10.2,18.1,7.1,5359,307,5666,5.4,65.9,30.0,4.1,8596,500
Hunters Hill,5560,5427,10987,1625,68.8,11.3,2.7,25.3,8.9,9.2,11.4,4456,148,4604,3.2,55.3,39.5,5.3,8327,1000
Huntleys Point,7659,7890,15549,1291,69.0,9.2,2.5,24.8,10.8,13.1,8.6,7374,316,7690,4.1,65.0,29.7,5.3,11834,0
Hurstville,13133,13166,26299,752,58.4,10.9,1.1,21.2,8.6,8.3,8.3,10503,1068,11571,9.2,57.5,37.6,4.9,20135,580
Hurstville Grove,6631,6670,13301,1165,65.7,8.6,2.4,23.3,10.0,15.0,6.6,6250,314,6564,4.8,63.2,33.4,3.4,10390,645
Huskisson,2162,2369,4531,788,66.7,5.5,2.9,13.7,10.2,23.3,11.3,1675,89,1764,5.0,48.4,45.0,6.6,3644,420
Illawong,5281,5412,10693,1274,63.2,5.1,1.9,18.8,11.1,21.0,5.2,5791,219,6010,3.6,69.5,28.4,2.1,8650,775
Iluka,8213,8417,16630,587,57.1,1.6,1.4,8.5,7.7,24.8,13.2,5308,439,5747,7.6,40.9,51.8,7.3,14045,400
Ingleburn,11580,11498,23078,857,58.5,5.6,1.2,14.9,8.7,18.3,9.7,9049,734,9783,7.5,61.7,31.9,6.4,15867,415
Inverell,5722,6172,11894,644,51.9,0.8,1.0,7.7,6.1,23.8,12.5,4536,371,4907,7.6,52.8,40.3,7.0,9286,310
Jamisontown,8738,8986,17724,911,54.4,2.5,1.1,8.9,8.4,24.7,8.8,8154,473,8627,5.5,62.9,31.6,5.5,13711,435
Jannali,10895,11218,22113,1215,67.2,6.3,2.6,19.4,12.4,19.8,6.6,10709,392,11101,3.5,67.0,29.7,3.3,16559,580
Jerilderie,5073,4962,10035,662,53.4,0.8,0.9,7.2,6.6,21.9,16.1,3827,188,4015,4.7,49.9,39.7,10.4,8040,0
Jerrabomberra,6510,6640,13150,1428,62.7,7.6,3.4,15.2,11.2,19.0,6.3,7125,254,7379,3.4,75.9,19.9,4.2,9725,640
Jesmond,6522,6244,12766,614,47.7,4.5,0.8,10.6,6.0,17.0,8.8,4213,796,5009,15.9,50.3,43.8,5.9,9956,390
Jilliby,1807,1723,3530,1016,63.6,3.1,1.6,11.9,10.5,23.9,12.6,1644,58,1702,3.4,62.5,28.7,8.7,2722,600
Jindabyne,3906,3267,7173,906,68.4,3.1,1.7,12.7,9.8,28.2,12.6,3899,73,3972,1.8,69.6,21.2,9.2,5709,0
Junee,3782,2767,6549,699,62.0,0.9,0.7,6.2,5.3,20.2,28.6,2290,116,2406,4.8,46.8,44.9,8.3,5139,270
Kangaroo Valley,4471,4650,9121,747,66.6,4.4,2.3,14.0,10.4,22.0,13.4,3452,107,3559,3.0,47.1,44.9,7.9,7553,0
Kangy Angy,2708,2757,5465,873,57.7,2.3,1.1,11.2,9.0,24.1,9.9,2409,164,2573,6.4,61.5,31.3,7.2,4182,0
Kanwal,11086,11716,22802,663,52.8,0.9,0.7,5.4,6.9,24.9,14.1,8294,820,9114,9.0,50.3,41.6,8.2,18128,390
Karabar,4155,4277,8432,1008,53.5,3.0,1.9,8.8,8.3,22.3,9.2,4184,208,4392,4.7,66.3,27.8,5.8,6623,480
Kariong,3383,3200,6583,961,60.6,2.2,1.2,10.3,11.0,25.7,10.1,3156,215,3371,6.4,67.8,27.5,4.7,4970,430
Karuah,7368,7127,14495,848,60.4,1.6,1.0,7.5,9.6,28.9,11.9,6072,377,6449,5.8,59.6,32.3,8.1,10817,340
Katoomba,6639,7227,13866,718,68.9,6.9,2.9,16.9,11.4,17.9,12.8,5552,394,5946,6.6,52.4,40.6,7.0,11338,415
Keiraville,11181,11207,22388,873,63.1,7.3,2.4,17.2,9.5,20.0,6.7,9260,735,9995,7.4,58.4,37.9,3.8,17126,580
Kellyville,13052,13223,26275,1262,65.1,8.3,2.0,21.9,11.4,15.8,5.6,12143,568,12711,4.5,71.7,25.4,2.8,17719,644
Kellyville Ridge,18215,17254,35469,1260,69.4,9.4,1.9,23.2,10.7,14.1,10.0,16081,809,16890,4.8,70.9,25.7,3.4,23822,610
Kembla Grange,4726,5007,9733,968,60.1,2.7,1.4,9.6,10.8,28.5,7.0,4273,208,4481,4.6,68.1,29.6,2.4,6584,470
Kemps Creek,2417,2270,4687,966,52.8,2.0,0.5,8.6,6.8,21.7,13.4,2052,79,2131,3.7,58.1,32.7,9.0,3665,480
Kempsey,7728,7581,15309,569,55.3,0.8,0.7,5.1,5.3,23.1,20.4,4467,480,4947,9.7,41.7,48.1,10.3,11870,265
Kensington,8582,8360,16942,1079,60.6,11.5,1.5,24.1,6.6,7.0,9.8,6528,782,7310,10.7,54.5,38.1,7.5,13418,950
Kenthurst,11119,11127,22246,1143,63.3,5.0,1.8,17.0,10.6,20.3,8.7,10568,353,10921,3.2,64.1,30.8,5.0,17031,460
Kiama,4002,4221,8223,857,66.3,5.0,2.8,15.5,11.8,21.5,9.9,3231,174,3405,5.1,51.8,41.9,6.4,6570,550
Kiama Downs,3095,3092,6187,984,68.5,4.3,3.1,16.4,12.0,25.8,7.2,2746,138,2884,4.8,60.7,35.2,4.0,4754,540
Killara,11254,11859,23113,1424,71.7,15.4,2.6,31.7,8.2,6.2,7.6,9732,606,10338,5.9,59.5,36.8,3.7,17376,1100
Killarney Heights,6539,6901,13440,1204,66.1,9.0,2.7,23.9,10.9,13.2,6.5,5887,234,6121,3.8,62.2,34.8,3.0,9843,975
Killarney Vale,10780,11841,22621,755,57.0,1.6,1.0,8.9,8.6,25.6,11.2,9330,631,9961,6.3,55.8,37.4,6.8,17856,420
Killingworth,3351,3417,6768,807,53.7,1.2,0.8,5.8,7.1,32.0,6.9,3006,234,3240,7.2,62.7,33.3,4.0,5166,0
Kincumber,3536,3995,7531,715,58.1,2.5,1.6,10.8,9.2,24.8,9.2,2944,187,3131,6.0,51.7,44.0,4.4,6056,490
Kings Langley,13053,12927,25980,922,58.8,4.8,1.6,14.1,9.4,19.6,9.4,11754,744,12498,6.0,62.7,32.3,5.0,19921,520
Kings Park,9132,8756,17888,848,61.2,8.1,1.2,17.2,9.8,15.5,9.4,7824,668,8492,7.9,63.0,30.9,6.2,13481,440
Kingscliff,7191,7511,14702,783,62.5,3.1,2.0,13.6,10.0,21.1,12.7,5476,358,5834,6.1,54.4,37.0,8.7,10732,640
Kingsford,8932,8233,17165,820,62.7,11.9,1.6,26.9,6.5,7.9,7.9,6368,746,7114,10.5,51.4,43.3,5.2,13838,800
Kingsgrove,9662,9860,19523,931,56.4,5.2,1.5,17.0,9.7,14.7,8.2,8217,444,8661,5.2,58.5,36.4,5.0,14834,600
Kingswood,10715,10985,21700,856,55.8,4.1,1.2,11.3,8.1,21.3,9.8,8962,742,9704,7.6,63.5,30.2,6.3,15293,370
Kirrawee,10717,11404,22121,1079,67.2,5.7,2.0,17.5,11.3,21.4,9.4,10823,446,11269,4.0,65.7,29.6,4.7,17146,590
Kirribilli,9163,10293,19456,1732,80.7,14.5,3.3,34.3,9.7,7.4,11.5,10637,426,11063,3.9,69.5,21.7,8.8,15929,980
Kogarah,6351,6163,12514,959,66.0,10.8,1.5,24.5,9.6,10.9,8.9,5761,433,6194,7.0,65.5,29.3,5.3,9455,583
Kogarah Bay,8666,8484,17150,934,61.6,7.9,1.5,20.8,10.6,13.2,7.7,7924,527,8451,6.2,63.7,31.6,4.7,13261,550
Koolewong,3069,3239,6308,848,63.6,4.3,2.0,14.7,11.6,22.7,8.3,2814,187,3001,6.2,59.0,37.1,3.8,5084,420
Kooragang,9,8,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,0.0,33.3,83.3,0.0,12,0
Korora,4718,4899,9617,881,67.2,3.5,2.2,15.9,11.4,25.4,9.0,4013,231,4244,5.4,61.1,33.2,5.6,6945,503
Kotara,8017,8008,16025,946,64.2,5.0,2.3,18.5,10.5,22.0,6.0,7608,473,8081,5.9,64.7,32.5,2.8,12492,480
Kulnura,2564,2374,4938,893,62.0,2.8,1.4,11.2,9.7,23.1,13.9,2249,85,2334,3.6,59.0,31.1,9.8,3955,0
Kurnell,12675,12674,25349,1210,69.2,5.1,2.2,16.9,12.1,22.4,10.6,12938,447,13385,3.3,66.7,26.0,7.3,20062,588
Kurrajong Heights,11480,11167,22647,1052,62.7,2.8,1.7,10.6,10.4,27.9,9.2,11418,410,11828,3.5,67.7,26.1,6.2,17471,450
Kurri Kurri,9267,9356,18623,685,49.7,0.6,0.5,4.1,5.5,28.1,10.8,6877,722,7599,9.5,54.2,39.0,6.8,14033,330
Kyeemagh,7433,7820,15253,921,60.5,5.0,1.3,16.3,10.3,15.4,12.2,6560,339,6899,4.9,58.8,33.3,7.9,11730,670
Kyogle,3736,3579,7315,561,54.4,1.4,1.4,8.5,7.5,21.9,13.6,2658,257,2915,8.8,47.8,43.2,9.1,6096,315
La Perouse,13800,12536,26336,1006,64.3,5.9,1.3,14.1,8.4,15.4,19.2,10228,484,10712,4.5,53.4,38.8,7.8,20047,0
Lake Heights,7251,7405,14656,625,47.9,1.3,0.6,5.9,7.1,22.4,10.6,5007,519,5526,9.4,49.7,44.6,5.7,11108,433
Lake Munmorah,5439,5733,11172,634,52.7,0.9,0.7,5.5,7.2,27.3,11.1,3956,321,4277,7.5,47.3,46.8,5.8,9043,380
Lakemba,9987,8269,18256,549,52.7,8.8,1.1,16.6,7.0,9.1,10.3,5669,884,6553,13.5,51.5,41.6,7.0,12734,500
Lalor Park,13053,12927,25980,922,58.8,4.8,1.6,14.1,9.4,19.6,9.4,11754,744,12498,6.0,62.7,32.3,5.0,19921,380
Lambton,8289,8746,17035,937,63.7,5.7,2.5,18.4,9.9,20.3,7.0,7987,468,8455,5.5,63.8,32.3,3.9,13260,450
Lane Cove,14389,14678,29067,1641,74.5,14.8,3.4,32.0,9.1,8.1,7.1,13706,625,14331,4.4,66.5,29.0,4.5,21558,925
Lane Cove North,11330,11605,22935,1388,75.0,14.6,2.9,31.1,9.9,8.8,7.5,11328,587,11915,4.9,69.0,26.3,4.7,17266,820
Lansvale,12900,12973,25873,549,34.8,1.3,0.4,8.3,5.9,9.9,9.0,8578,1425,10003,14.2,49.3,45.4,5.3,20280,500
Lapstone,9630,9907,19537,1109,69.1,7.0,3.5,19.4,11.6,21.2,6.5,9529,382,9911,3.9,65.6,30.8,3.6,15108,0
Laughtondale,2723,2637,5360,1098,66.2,5.4,2.1,16.8,11.9,21.9,8.1,2552,94,2646,3.6,62.4,33.0,4.6,4237,0
Laurieton,8675,9160,17835,609,58.5,1.6,1.3,8.3,8.5,26.6,12.2,5492,453,5945,7.6,41.4,51.9,6.7,14367,360
Lavender Bay,6015,6169,12184,1905,82.1,17.3,3.3,34.7,8.6,6.0,12.3,6425,255,6680,3.8,69.3,21.0,9.7,9642,0
Lavington,7175,7841,15016,639,53.3,1.3,1.0,6.4,6.9,25.5,12.2,5809,585,6394,9.1,53.8,38.6,7.6,11890,305
Lawson,5636,5942,11578,888,68.1,6.1,3.4,16.7,12.0,23.0,7.0,5346,279,5625,5.0,62.4,33.4,4.1,9011,440
Leeton,5074,5257,10331,764,51.7,1.1,0.9,7.6,5.5,22.0,14.5,4264,230,4494,5.1,55.9,34.9,9.3,8038,310
Leichhardt,13752,14632,28384,1515,74.5,12.9,3.6,29.1,9.1,10.1,9.8,14468,621,15089,4.1,70.4,22.2,7.4,21437,750
Lemon Tree Passage,3465,3358,6823,628,56.6,1.1,0.9,5.6,8.4,28.6,12.1,2282,221,2503,8.8,45.5,47.7,6.9,5497,385
Lennox Head,4061,4277,8338,908,68.0,5.3,3.0,19.8,10.7,20.6,8.7,3793,208,4001,5.2,64.1,30.6,5.5,6242,600
Leonay,7039,7514,14553,1031,58.7,3.6,1.7,10.8,9.7,23.9,9.0,6987,305,7292,4.2,64.0,32.4,3.6,11401,498
Leppington,13327,13591,26918,1104,60.0,3.5,1.1,11.8,9.7,23.2,10.7,8913,344,9257,3.7,67.9,24.8,7.4,13639,540
Lethbridge Park,10957,11520,22477,674,47.3,2.9,0.5,7.6,6.1,16.6,13.7,7070,853,7923,10.8,52.1,39.0,8.9,15210,300
Leumeah,8517,8594,17111,838,54.1,3.0,1.0,9.2,8.7,23.7,8.5,7578,532,8110,6.6,61.2,34.0,4.8,13252,380
Leura,6639,7227,13866,718,68.9,6.9,2.9,16.9,11.4,17.9,12.8,5552,394,5946,6.6,52.4,40.6,7.0,11338,450
Lewisham,8909,9542,18451,1226,69.8,10.2,3.8,24.5,9.2,11.9,10.2,9209,485,9694,5.0,68.0,24.3,7.7,14257,700
Lidcombe,11751,10755,22506,791,54.5,6.2,1.2,19.9,9.0,9.0,9.2,9249,863,10112,8.5,59.4,34.7,6.0,17037,510
Lightning Ridge,3387,2999,6386,523,48.9,1.0,0.7,6.9,6.0,16.3,17.9,2163,264,2427,10.9,47.4,40.3,12.3,5124,0
Lilli Pilli,1627,1653,3280,1555,68.2,6.6,2.1,21.2,12.9,20.0,5.1,1683,38,1721,2.2,68.4,28.9,2.9,2516,870
Lilyfield,7292,7887,15179,1742,74.8,12.9,3.4,28.7,9.4,10.1,10.2,7714,288,8002,3.6,70.1,21.9,7.9,11409,793
Linden,5636,5942,11578,888,68.1,6.1,3.4,16.7,12.0,23.0,7.0,5346,279,5625,5.0,62.4,33.4,4.1,9011,0
Lindfield,12228,12998,25226,1577,73.3,15.3,3.3,32.6,9.0,6.6,6.5,10934,517,11451,4.5,62.8,33.3,3.9,18234,935
Lisarow,4068,4084,8152,904,60.6,3.0,1.8,12.9,10.5,25.2,7.4,3910,236,4146,5.7,65.2,31.0,3.7,6355,520
Lismore,7599,7710,15309,635,58.4,2.7,1.9,11.7,7.0,22.6,12.4,6029,682,6711,10.2,52.9,38.2,8.9,12686,380
Lithgow,6570,6403,12973,624,54.7,1.1,1.0,6.1,6.0,23.9,16.6,4523,423,4946,8.6,46.4,45.6,8.0,10670,300
Liverpool,15271,15249,30520,631,54.1,3.6,0.7,11.0,8.7,13.6,16.6,8515,1104,9619,11.5,44.8,42.3,12.9,21448,430
Loftus,3638,3819,7457,1125,64.5,4.7,2.4,16.1,11.6,24.9,5.0,3764,117,3881,3.0,68.1,29.7,2.2,5701,630
Londonderry,4259,3509,7768,975,61.0,1.3,0.6,4.9,5.7,23.3,25.0,3214,112,3326,3.4,54.8,39.1,6.0,6070,550
Lord Howe Island,198,223,421,993,68.2,2.1,0.0,12.5,8.9,30.9,14.4,225,3,228,1.3,69.7,21.4,9.8,327,0
Lucas Heights,10847,10911,21758,1217,62.6,4.4,2.0,16.1,11.6,22.3,6.1,11686,447,12133,3.7,71.2,25.9,2.9,17032,0
Luddenham,5557,5474,11031,1131,59.0,3.3,1.1,12.0,9.3,23.7,9.5,4974,196,5170,3.8,69.3,24.5,6.2,7460,650
Lugarno,9521,9884,19405,951,59.2,4.6,1.7,16.0,10.4,18.6,7.9,8228,397,8625,4.6,58.8,37.2,4.1,14674,580
Lurnea,6213,6220,12433,545,44.3,1.5,0.4,6.6,7.0,15.6,13.3,3425,459,3884,11.8,43.5,47.6,9.0,8937,420
Macksville,2452,2568,5020,603,56.1,1.4,1.2,7.5,7.1,25.2,13.7,1603,151,1754,8.6,44.4,47.4,8.1,3951,370
Maclean,8213,8417,16630,587,57.1,1.6,1.4,8.5,7.7,24.8,13.2,5308,439,5747,7.6,40.9,51.8,7.3,14045,378
Macquarie Fields,12191,12725,24916,774,57.0,6.7,0.9,13.2,8.1,16.7,11.3,9541,986,10527,9.4,57.5,34.7,7.8,18296,383
Macquarie Park,11504,12320,23824,1048,70.2,14.9,1.9,28.0,8.4,8.1,8.9,10165,1002,11167,9.0,58.9,35.8,5.3,18948,0
Maitland,8370,8723,17093,877,58.8,2.4,1.4,10.5,8.9,26.3,9.3,7114,561,7675,6.9,62.0,32.4,5.6,12550,345
Malabar,13800,12536,26336,1006,64.3,5.9,1.3,14.1,8.4,15.4,19.2,10228,484,10712,4.5,53.4,38.8,7.8,20047,1000
Manly,11926,12280,24206,1731,78.3,12.3,2.9,31.9,10.1,9.4,11.6,12282,472,12754,3.7,68.5,23.1,8.4,18617,1475
Manly Vale,8949,9199,18148,1244,69.8,7.3,2.9,23.2,11.5,16.3,8.6,8481,323,8804,3.7,67.8,27.3,5.0,12991,950
Mannering Park,5439,5733,11172,634,52.7,0.9,0.7,5.5,7.2,27.3,11.1,3956,321,4277,7.5,47.3,46.8,5.8,9043,390
Manning Point,5336,5787,11123,668,62.4,2.4,1.9,10.3,9.8,27.1,11.0,3874,329,4203,7.8,48.0,46.3,5.8,8765,0
Marayong,9814,9600,19414,806,53.8,4.7,0.9,13.5,8.7,18.0,8.0,7938,706,8644,8.2,60.4,35.2,4.5,14315,390
Maroubra,5437,5609,11046,1070,66.4,10.0,2.0,23.6,8.8,11.9,10.1,4816,272,5088,5.4,59.4,34.3,6.4,8572,883
Marrickville,14239,14365,28604,1138,65.0,9.3,2.6,23.6,8.2,10.8,10.6,13905,820,14725,5.6,64.7,27.8,7.5,22760,750
Marsden Park,13272,13358,26630,1028,59.7,5.3,1.2,15.1,8.3,19.8,9.9,8411,473,8884,5.3,66.2,26.7,7.0,13410,550
Marsfield,11504,12320,23824,1048,70.2,14.9,1.9,28.0,8.4,8.1,8.9,10165,1002,11167,9.0,58.9,35.8,5.3,18948,695
Maryland,7509,7610,15119,957,57.5,3.5,1.4,11.5,8.9,26.5,5.7,6696,444,7140,6.2,69.5,27.6,2.9,10280,0
Mascot,14295,13704,27999,916,60.6,8.3,1.3,20.6,8.8,12.4,9.1,12241,803,13044,6.2,63.0,31.0,6.0,20715,680
Mayfield,7755,7711,15466,796,60.4,4.3,1.5,14.5,8.7,21.7,9.8,6939,648,7587,8.5,60.2,32.9,6.9,12609,0
Meadowbank,10561,10726,21287,1069,71.3,13.3,2.2,28.2,9.6,11.5,6.6,10372,718,11090,6.5,68.2,28.1,3.8,16260,0
Medowie,7368,7127,14495,848,60.4,1.6,1.0,7.5,9.6,28.9,11.9,6072,377,6449,5.8,59.6,32.3,8.1,10817,470
Menai,10847,10911,21758,1217,62.6,4.4,2.0,16.1,11.6,22.3,6.1,11686,447,12133,3.7,71.2,25.9,2.9,17032,700
Merewether,7202,7070,14272,1162,69.9,7.3,2.8,24.6,10.4,17.1,7.6,7187,304,7491,4.1,66.6,28.5,4.9,11252,563
Merimbula,5390,5786,11176,685,60.6,2.2,2.1,10.8,8.7,23.8,12.9,4098,197,4295,4.6,46.9,45.6,7.4,9156,450
Merrylands,16136,15137,31273,736,52.7,5.0,1.0,14.3,9.2,14.3,9.0,11434,1165,12599,9.2,56.1,38.5,5.3,22441,480
Merrylands West,11211,11125,22336,688,49.5,3.3,0.8,11.0,8.4,15.9,10.1,7886,805,8691,9.3,53.6,40.2,6.2,16206,500
Middleton Grange,8566,8573,17139,1037,55.1,3.3,0.9,14.6,10.5,18.2,7.6,7204,435,7639,5.7,68.5,26.8,4.7,11152,520
