Label,Weekly median advertised rent
FAULCONBRIDGE,$430 
FAULKLAND,
FEDERAL,N/A
FENNELL BAY,$410 
FERN BAY,$510 
FERNBANK CREEK,
FERNBROOK,
FERNHILL,N/A
FERNLEIGH,N/A
FERNMOUNT,N/A
FERNVALE,N/A
FIDDLETOWN,
FIFIELD,
FIGTREE,$500 
FINGAL BAY,$430 
FINGAL HEAD,N/A
FINLEY,N/A
FIREFLY,N/A
FISHERMANS BAY,
FISHERMANS PARADISE,N/A
FISHERMANS REACH,
FISHING POINT,$440 
FITZROY FALLS,N/A
FIVE DOCK,$755 
FLETCHER,$523 
FLINDERS,$550 
FLORAVILLE,$550 
FLYNNS BEACH,
FORBES,$280 
FORBESDALE,
FORDS BRIDGE,
FOREST HILL,$318 
FOREST LODGE,$900 
FOREST REEFS,N/A
FORESTVILLE,$850 
FORRESTERS BEACH,$510 
FORSTER,$430 
FORSTER SHOPPING VILLAGE,
FOSTERTON,
FOUNTAINDALE,N/A
FOUR MILE CREEK,
FOXGROUND,
FRAZERS CREEK,N/A
FREDERICKTON,N/A
FREEMANS REACH,$470 
FREEMANS WATERHOLE,
FREEMANTLE,
FRENCH PARK,
FRENCHS FOREST,$875 
FRESHWATER,"$1,350 "
FROGMORE,
FULLERTON,
FULLERTON COVE,N/A
FURRACABAD,
GALONG,N/A
GALSTON,$650 
GANMAIN,N/A
GARAH,
GARDEN SUBURB,$458 
GAREMA,
GARLAND,
GARRA,
GARTHOWEN,
GATESHEAD,$380 
GELSTON PARK,
GEMALLA,
GENEVA,N/A
GEORGES HALL,$550 
GEORGES PLAINS,
GEORGETOWN,$450 
GEORGICA,N/A
GEROGERY,N/A
GERRINGONG,$555 
GERROA,N/A
GEURIE,
GIANTS CREEK,
GIBBERAGEE,
GIDGINBUNG,
GILEAD,
GILGAI,N/A
GILGANDRA,$260 
GILLIESTON HEIGHTS,$430 
GILMORE,
GINGKIN,
GIRARDS HILL,$430 
GIRILAMBONE,
GIRRAL,
GIRRALONG,
GIRRAWEEN,$480 
GIRVAN,N/A
GLADESVILLE,$700 
GLADSTONE,N/A
GLANMIRE,
GLEBE,$850 
GLEN ALPINE,$580 
GLEN AYR,
GLEN DAVIS,
GLEN INNES,$250 
GLEN MARTIN,
GLEN OAK,N/A
GLEN WILLIAM,
GLENBROOK,$560 
GLENCOE,
GLENDALE,$375 
GLENDENNING,$420 
GLENDON BROOK,N/A
GLENFIELD,$475 
GLENFIELD PARK,$340 
GLENHAVEN,$750 
GLENIFFER,N/A
GLENMORE PARK,$490 
GLENNING VALLEY,$440 
GLENORIE,$565 
GLENQUARIE,
GLENREAGH,N/A
GLENRIDDING,N/A
GLENROY,
GLENROY,$363 
GLENTHORNE,N/A
GLENUGIE,N/A
GLENWOOD,$600 
GLOSSODIA,$440 
GLOUCESTER,$345 
GOBBAGOMBALIN,$420 
GODFREYS CREEK,
GOL GOL,$360 
GOLLAN,
GOLSPIE,
GOODNIGHT,
GOODOOGA,
GOOGONG,$655 
GOOLGOWI,N/A
GOOLMA,
GOOLMANGAR,
GOOLOOGONG,N/A
GOONELLABAH,$400 
GOONENGERRY,N/A
GOONUMBLA,
GORDON,$963 
GORMANS HILL,$300 
GOROKAN,$350 
GOSFORD,N/A
GOULBURN,$360 
GOULBURN NORTH,
GOWRIE,N/A
GOWRIE,
GRABBEN GULLEN,N/A
GRAFTON,$360 
GRAFTON WEST,
GRAHAMSTOWN,
GRAMAN,
GRANVILLE,$460 
GRASMERE,N/A
GRATTAI,N/A
GRAVESEND,
GRAYS POINT,$750 
GREAT MARLOW,
GREEN HILLS,
GREEN HILLS,
GREEN HILLS,
GREEN PIGEON,N/A
GREEN POINT,$450 
GREEN POINT,$570 
GREEN VALLEY,$470 
GREENACRE,$550 
GREENDALE,
GREENDALE,
GREENETHORPE,
GREENFIELD PARK,$430 
GREENHILL,N/A
GREENLANDS,
GREENLANDS,
GREENLEIGH,N/A
GREENWELL POINT,$300 
GREENWICH,"$1,100 "
GREGADOO,
GREGORY HILLS,$500 
GREIGS FLAT,
GRENFELL,N/A
GRESFORD,N/A
GRETA,$350 
GREVILLIA,
GREYSTANES,$500 
GRIFFITH,$360 
GRIFFITH EAST,
GROGAN,
GRONG GRONG,
GROSE VALE,N/A
GROSE WOLD,N/A
GUERILLA BAY,
GUILDFORD,$450 
GUILDFORD WEST,$455 
GULARGAMBONE,N/A
GULGONG,$318 
GULMARRAD,$445 
GUM FLAT,
GUM SCRUB,
GUMLY GUMLY,N/A
GUMMA,N/A
GUNBAR,
GUNDAGAI,$290 
GUNDAROO,N/A
GUNDARY,
GUNDERMAN,N/A
GUNDY,
GUNGAL,
GUNNEDAH,$350 
GUNNING,N/A
GUNNINGBLAND,
GURLEY,
GURRANANG,
GUYRA,$270 
GWABEGAR,
GWANDALAN,$400 
GWYNNEVILLE,$500 
GYMEA,$640 
GYMEA BAY,$773 
HABERFIELD,$800 
HALEKULANI,$410 
HALFWAY CREEK,N/A
HALLIDAYS POINT,N/A
HALLORAN,
HALLS CREEK,
HALLSVILLE,N/A
HAMILTON,$485 
HAMILTON EAST,$600 
HAMILTON NORTH,$460 
HAMILTON SOUTH,$590 
HAMLYN TERRACE,$490 
HAMMONDVILLE,$495 
HAMPTON,
HANGING ROCK,
HANNAM VALE,
HANWOOD,N/A
HARDEN,$250 
HARDYS BAY,N/A
HAREFIELD,
HARGRAVES,N/A
HARRINGTON,$480 
HARRINGTON PARK,$550 
HARRIS PARK,$480 
HARTLEY,N/A
HARTLEY VALE,
HARWOOD,$450 
HASSALL GROVE,$400 
HASTINGS POINT,N/A
HAT HEAD,N/A
HATFIELD,
HAVILAH,
HAWKESBURY HEIGHTS,N/A
HAWKS NEST,$340 
HAY,$205 
HAYMARKET,N/A
HAYWARDS BAY,N/A
HAZELBROOK,$425 
HAZELGROVE,
HEATHCOTE,$600 
HEATHERBRAE,N/A
HEBERSHAM,$340 
HECKENBERG,$395 
HEDDON GRETA,$435 
HELENSBURGH,$580 
HENLEY,N/A
HENTY,N/A
HERMIDALE,
HERNANI,
HERONS CREEK,
HEXHAM,N/A
HICKEYS CREEK,N/A
HIGHFIELDS,$438 
HILL END,
HILL TOP,
HILL TOP,$450 
HILLDALE,
HILLGROVE,N/A
HILLSBOROUGH,N/A
HILLSBOROUGH,
HILLSDALE,N/A
HILLSTON,$295 
HILLVILLE,
HILLVUE,$390 
HINCHINBROOK,$480 
HINTON,N/A
HOBARTVILLE,$395 
HOBBYS YARDS,
HOLBROOK,N/A
HOLGATE,N/A
HOLMESVILLE,$333 
HOLROYD,N/A
HOLSWORTHY,$500 
HOMEBUSH,$620 
HOMEBUSH SOUTH,
HOMEBUSH WEST,N/A
HOPKINS CREEK,
HORNINGSEA PARK,$530 
HORNSBY,$590 
HORNSBY HEIGHTS,$600 
HORSESHOE BEND,N/A
HORSFIELD BAY,$505 
HORSLEY,$490 
HORSLEY PARK,$400 
HOSKINSTOWN,
HOWES VALLEY,
HOWLONG,$310 
HOXTON PARK,$500 
HUMULA,
HUNTERS HILL,"$1,000 "
HUNTERVIEW,$410 
HUNTINGWOOD,
HUNTLEY,
HUNTLEY,
HUNTLEYS COVE,N/A
HUNTLEYS POINT,
HUONBROOK,
HURLSTONE PARK,$610 
HURSTVILLE,$580 
HURSTVILLE GROVE,$645 
HURSTVILLE WESTFIELD,
HUSKISSON,$420 
HYAMS BEACH,N/A
HYLAND PARK,N/A
ILARWILL,N/A
ILFORD,N/A
ILLABO,
ILLAWONG,$775 
ILUKA,$400 
INGEBIRAH,
INGLEBURN,$415 
INGLESIDE,N/A
INVERELL,$310 
INVERGOWRIE,N/A
IRVINGTON,
ISABELLA,
ISLINGTON,$445 
IVANHOE,N/A
JACKADGERY,
JACKS CREEK,
JAMBEROO,$550 
JAMES CREEK,
JAMISONTOWN,$435 
JANNALI,$580 
JASPERS BRUSH,N/A
JEMBAICUMBENE,
JENNINGS,
JEOGLA,
JERANGLE,
JEREMADRA,
JERILDERIE,N/A
JERRABOMBERRA,$640 
JERRARA,
JERRAWA,
JERRYS PLAINS,N/A
JERSEYVILLE,
JESMOND,$390 
JEWELLS,$490 
JIGGI,N/A
JILLIBY,$600 
JINDABYNE,N/A
JINDERA,$380 
JINGELLIC,
JOHNS RIVER,N/A
JONES CREEK,
JUDDS CREEK,
JUGIONG,N/A
JUNCTION HILL,$420 
JUNEE,$270 
KAHIBAH,$440 
KALANG,N/A
KALARU,N/A
KALKITE,$465 
KAMARAH,
KANAHOOKA,$470 
KANDOS,$248 
KANGALOON,N/A
KANGAROO CREEK,
KANGAROO POINT,N/A
KANGAROO VALLEY,N/A
KANGY ANGY,
KANWAL,$390 
KAPOOKA,
KARABAR,$480 
KARANGI,N/A
KAREELA,$720 
KARIONG,$430 
KARS SPRINGS,
KARUAH,$340 
KATOOMBA,$415 
KEARNS,$420 
KEARSLEY,N/A
KEINBAH,
KEIRAVILLE,$580 
KEITH HALL,
KELLYS PLAINS,
KELLYVILLE,$644 
KELLYVILLE RIDGE,$610 
KELSO,$400 
KELVIN,
KEMBLA GRANGE,$470 
KEMBLA HEIGHTS,
KEMPS CREEK,$480 
KEMPSEY,$265 
KENDALL,$354 
KENEBRI,
KENSINGTON,$950 
KENTHURST,$460 
KENTLYN,N/A
KENTUCKY,
KENTUCKY SOUTH,
KEW,$400 
KHANCOBAN,N/A
KIAH,
KIAMA,$550 
KIAMA DOWNS,$540 
KIAMA HEIGHTS,$570 
KIANGA,N/A
KIELVALE,N/A
KIKOIRA,
KILABEN BAY,$380 
KILLABAKH,N/A
KILLARA,"$1,100 "
KILLARNEY HEIGHTS,$975 
KILLARNEY VALE,$420 
KILLAWARRA,
KILLCARE,N/A
KILLCARE HEIGHTS,N/A
KILLINGWORTH,N/A
KIMBRIKI,
KINCHELA,N/A
KINCUMBER,$490 
KINCUMBER SOUTH,N/A
KINDEE,
KING CREEK,N/A
KINGFISHER SHORES,
KINGS LANGLEY,$520 
KINGS PARK,$440 
KINGS PLAINS,
KINGS PLAINS,
KINGS POINT,N/A
KINGSCLIFF,$640 
KINGSDALE,
KINGSDENE,
KINGSFORD,$800 
KINGSGROVE,$600 
KINGSTOWN,
KINGSVALE,
KINGSWAY WEST,
KINGSWOOD,N/A
KINGSWOOD,
KINGSWOOD,$370 
KIOLOA,"$1,050 "
KIORA,
KIRKHAM,N/A
KIRRAWEE,$590 
KIRRIBILLI,$980 
KITCHENER,N/A
KNOCKROW,
KNORRIT FLAT,
KOGARAH,$583 
KOGARAH BAY,$550 
KOOLEWONG,$420 
KOONAWARRA,$430 
KOONORIGAN,
KOORAGANG,
KOORAINGHAT,
KOORAWATHA,N/A
KOORINGAL,$330 
KOOTINGAL,$320 
KORALEIGH,N/A
KOREELAH,
KORORA,$503 
KOTARA,$480 
KOTARA EAST,
KOTARA FAIR,
KOTARA SOUTH,$460 
KRAMBACH,N/A
KREMNOS,
KULNURA,N/A
KUNAMA,
KUNDABUNG,N/A
KUNDIBAKH,
KUNDLE KUNDLE,N/A
KUNGALA,
KUNGHUR,
KURMOND,$520 
KURNELL,$588 
KURRAJONG,$550 
KURRAJONG HEIGHTS,$450 
KURRAJONG HILLS,N/A
KURRI KURRI,$330 
KYALITE,
KYEEMAGH,$670 
KYLE BAY,N/A
KYNNUMBOON,
KYOGLE,$315 
LA PEROUSE,
LACMALAC,
LADYSMITH,N/A
LAGGAN,N/A
LAGUNA,N/A
LAKE ALBERT,$350 
LAKE BATHURST,
LAKE CARGELLIGO,N/A
LAKE CATHIE,$450 
LAKE CONJOLA,N/A
LAKE HAVEN,$380 
LAKE HEIGHTS,$433 
LAKE HUME VILLAGE,
LAKE ILLAWARRA,$430 
LAKE INNES,N/A
LAKE MUNMORAH,$380 
LAKE TABOURIE,$370 
LAKE WYANGAN,N/A
LAKELANDS,N/A
LAKEMBA,$500 
LAKESLAND,N/A
LAKEWOOD,$430 
LALALTY,
LALOR PARK,$380 
LAMBS VALLEY,N/A
LAMBS VALLEY,
LAMBTON,$450 
LANE COVE,$925 
LANE COVE NORTH,$820 
LANE COVE WEST,$850 
LANGLEY VALE,
LANITZA,
LANSDOWNE,N/A
LANSDOWNE,
LANSVALE,$500 
LAPSTONE,N/A
LARGS,$450 
LARNOOK,N/A
LARRAS LEE,
LAUGHTONDALE,
LAUREL HILL,
LAURIETON,$360 
LAVENDER BAY,N/A
LAVINGTON,$305 
LAVINGTON DC,
LAWRENCE,N/A
LAWSON,$440 
LEADVILLE,
LEETON,$310 
LEEVILLE,
LEGUME,N/A
LEICHHARDT,$750 
LEMON TREE,
LEMON TREE PASSAGE,$385 
LENNOX HEAD,$600 
LEONAY,$498 
LEPPINGTON,$540 
LERIDA,
LERIDA,
LETHBRIDGE PARK,$300 
LEUMEAH,$380 
LEURA,$450 
LEWIS PONDS,
LEWISHAM,$700 
LIBERTY GROVE,$860 
LIDCOMBE,$510 
LIDCOMBE NORTH,
LIDSDALE,N/A
LIDSTER,N/A
LIGHTHOUSE BEACH,
LIGHTNING RIDGE,N/A
LILLI PILLI,$580 
LILLI PILLI,$870 
LILLIAN ROCK,
LILYFIELD,$793 
LIMEBURNERS CREEK,N/A
LIMEBURNERS CREEK,
LIMEKILNS,
LIMERICK,
LIMPINWOOD,
LINDEN,N/A
LINDENDALE,
LINDFIELD,$935 
LINDFIELD WEST,
LINLEY POINT,N/A
LISAROW,$520 
LISMORE,$380 
LISMORE HEIGHTS,$395 
LISTON,
LITHGOW,$300 
LITTLE BAY,"$1,125 "
LITTLE FOREST,N/A
LITTLE HARTLEY,N/A
LITTLE PLAIN,
LITTLE RIVER,
LIVERPOOL,$430 
LIVERPOOL SOUTH,
LIVERPOOL WESTFIELD,
LLANARTH,$425 
LLANDILO,$550 
LLANGOTHLIN,
LLOYD,$430 
LOCHIEL,N/A
LOCHINVAR,N/A
LOCKHART,$110 
LOCKSLEY,
LOFTUS,$630 
LOGANS CROSSING,
LOGIE BRAE,
LONDONDERRY,$550 
LONG BEACH,$450 
LONG FLAT,
LONG JETTY,$400 
LONG PLAIN,
LONG PLAIN,
LONG POINT,
LONG POINT,
LONGUEVILLE,N/A
LOOMBERAH,N/A
LORD HOWE ISLAND,
LORN,$420 
LORNE,N/A
LOSTOCK,
LOUTH,
LOUTH PARK,N/A
LOVEDALE,N/A
LOVETT BAY,N/A
LOWANNA,N/A
LOWER BELFORD,N/A
LOWER CREEK,
LOWER MACDONALD,N/A
LOWER MANGROVE,
LOWER PORTLAND,N/A
LOWER SOUTHGATE,
LOWESDALE,
LOWTHER,
LOXFORD,
LUCAS HEIGHTS,
LUCKNOW,
LUDDENHAM,$650 
LUE,
LUGARNO,$580 
LURNEA,$420 
LUSKINTYRE,
LYNCHS CREEK,
LYNDHURST,
LYNDHURST,N/A
LYNWOOD,
MABINS WELL,
MACARTHUR SQUARE,
MACKSVILLE,$370 
MACLEAN,$378 
MACMASTERS BEACH,$600 
MACQUARIE CENTRE,
MACQUARIE FIELDS,$383 
MACQUARIE HILLS,$498 
MACQUARIE LINKS,$530 
MACQUARIE PARK,N/A
MAGENTA,N/A
MAIANBAR,N/A
MAIN ARM,N/A
MAIN CREEK,
MAITLAND,$345 
MAITLAND NORTH,
MAITLAND VALE,
MAJORS CREEK,N/A
MALABAR,"$1,000 "
MALLABULA,$390 
MALLANGANEE,
MALONEYS BEACH,$400 
MALUA BAY,"$1,025 "
MANAHAN,
MANDAGERY,
MANDALONG,N/A
MANDURAMA,N/A
MANGERTON,$550 
MANGOPLAH,N/A
MANGROVE MOUNTAIN,N/A
MANILDRA,N/A
MANILLA,N/A
MANLY,"$1,475 "
MANLY EAST,
MANLY VALE,$950 
MANNERING PARK,$390 
MANNING POINT,N/A
MANNUS,
MANYANA,N/A
MARAYLYA,$550 
MARAYONG,$390 
MARCH,
MARDI,$460 
MARKS POINT,$410 
MARKWELL,
MARLEE,N/A
MARMONG POINT,N/A
MAROOTA,N/A
MAROUBRA,$883 
MAROUBRA SOUTH,
MARRANGAROO,N/A
MARRAR,N/A
MARRICKVILLE,$750 
MARRICKVILLE METRO,
MARRICKVILLE SOUTH,
MARSDEN PARK,$550 
MARSFIELD,$695 
MARSHALL MOUNT,
MARSHDALE,
MARTINS CREEK,N/A
MARTINSVILLE,N/A
MARULAN,$440 
MARYLAND,$440 
MARYLAND,
MARYVALE,
MARYVILLE,$488 
MASCOT,$680 
MATCHAM,N/A
MATHESON,
MATHOURA,N/A
MATONG,
MATRAVILLE,"$1,025 "
MAUDE,
MAULES CREEK,
MAYFIELD,$430 
MAYFIELD,
MAYFIELD,
MAYFIELD,
MAYFIELD EAST,$420 
MAYFIELD NORTH,
MAYFIELD WEST,$430 
MAYRUNG,
MAYS HILL,N/A
MCDOUGALLS HILL,
MCGRATHS HILL,$470 
MCKEES HILL,
MCLEANS RIDGES,N/A
MCMAHONS POINT,"$1,000 "
MEADOW FLAT,N/A
MEADOWBANK,N/A
MEDLOW BATH,$395 
MEDOWIE,$470 
MEDWAY,
MEDWAY,
MEERSCHAUM VALE,N/A
MEGALONG,
MEGAN,N/A
MELINGA,
MELROSE PARK,$755 
MELVILLE,
MENAI,$700 
MENAI CENTRAL,
MENANGLE,N/A
MENANGLE PARK,N/A
MENDOORAN,N/A
MENINDEE,N/A
MERAH NORTH,
MEREWETHER,$563 
MEREWETHER HEIGHTS,$778 
MERIMBULA,$450 
MERINGO,
MEROO MEADOW,N/A
MERRIWA,$250 
MERRIWAGGA,
MERRYGOEN,
MERRYLANDS,$480 
MERRYLANDS WEST,$500 
MERUNGLE HILL,N/A
METFORD,$390 
METFORD DC,
MIANDETTA,
MICHELAGO,N/A
MIDDLE ARM,N/A
MIDDLE BROOK,
MIDDLE COVE,"$1,100 "
MIDDLE DURAL,N/A
MIDDLETON GRANGE,$520 
MILA,
MILBRODALE,
MILBRULONG,
MILLBANK,
MILLER,$400 
MILLERS FOREST,
MILLERS POINT,"$1,000 "
MILLFIELD,N/A
MILLINGANDI,N/A
MILLTHORPE,N/A
MILPERRA,$550 
MILROY,
MILSONS PASSAGE,
MILSONS POINT,N/A
MILTON,$380 
MILVALE,
MIMOSA,
MINCHINBURY,$458 
MINIMBAH,N/A
MINMI,N/A
MINNAMURRA,$640 
MINNIE WATER,N/A
MINORE,
MINTO,$405 
MINTO HEIGHTS,
MIRANDA,$650 
MIRRABOOKA,$358 
MIRROOL,
MISSABOTTI,N/A
MISSENDEN ROAD,
MITCHELLS FLAT,
MITCHELLS ISLAND,N/A
MITTAGONG,$470 
MOAMA,$435 
MODANVILLE,$395 
MOGAREEKA,
MOGENDOURA,
MOGO,N/A
MOGO,
MOGRIGUY,
MOLE RIVER,
MOLLYMOOK,$520 
MOLLYMOOK BEACH,$650 
MOLONG,$305 
MONA VALE,$950 
MONAK,
MONALTRIE,
MONASH PARK,
MONDROOK,
MONGA,
MONGARLOWE,
MONGOGARIE,
MONKERAI,
MONTEAGLE,N/A
MONTEFIORES,N/A
MONTEREY,$650 
MOOBALL,N/A
MOOMBOOLDOOL,
MOONAN BROOK,
MOONAN FLAT,
MOONBAH,$525 
MOONBI,N/A
MOONEE BEACH,$480 
MOONEY MOONEY,
MOORAL CREEK,
MOORBEL,N/A
MOORE CREEK,$493 
MOORE PARK,
MOOREBANK,$580 
MOORLAND,N/A
MORANS CROSSING,
MOREE,$290 
MOREE EAST,
MORISSET,$395 
MORISSET PARK,$465 
MORNING BAY,
MORPETH,$410 
MORTDALE,$600 
MORTLAKE,N/A
MORTONS CREEK,
MORUNDAH,
MORUYA,$380 
MORUYA HEADS,$390 
MORVEN,
MORVEN,
MOSMAN,"$1,563 "
MOSS VALE,$460 
MOSSGIEL,
MOSSY POINT,$500 
MOTO,
MOULAMEIN,N/A
MOUNT ANNAN,$460 
MOUNT ARTHUR,
MOUNT AUSTIN,$290 
MOUNT BURRELL,
MOUNT COLAH,$595 
MOUNT DAVID,
MOUNT DRUITT,$380 
MOUNT DRUITT VILLAGE,
MOUNT ELLIOT,N/A
MOUNT GEORGE,N/A
MOUNT HOPE,
MOUNT HOREB,
MOUNT HUNTER,N/A
MOUNT HUTTON,$420 
MOUNT IRVINE,
MOUNT KEIRA,$530 
MOUNT KEMBLA,N/A
MOUNT KURING GAI,$640 
MOUNT LEWIS,$460 
MOUNT MITCHELL,
MOUNT OLIVE,
MOUNT OLIVE,
MOUNT OUSLEY,$590 
MOUNT PLEASANT,N/A
MOUNT PRITCHARD,$400 
MOUNT RANKIN,
MOUNT RIVERVIEW,$440 
MOUNT RUSSELL,
MOUNT SAINT THOMAS,N/A
MOUNT THORLEY,
MOUNT TOMAH,
MOUNT VERNON,N/A
MOUNT VICTORIA,$450 
MOUNT VIEW,
MOUNT VINCENT,
MOUNT VINCENT,
MOUNT WARRIGAL,$468 
MOUNT WHITE,
MOUNT WILSON,N/A
MOUNTAIN CREEK,
MOUNTAIN CREEK,
MOUNTAIN LAGOON,
MOUNTAIN VIEW,
MUDGEE,$390 
MULBRING,N/A
MULGOA,$548 
MULGRAVE,
MULLALEY,
MULLAWAY,N/A
MULLENGANDRA,
MULLENGUDGERY,
MULLION CREEK,N/A
MULLUMBIMBY,$610 
MULLUMBIMBY CREEK,N/A
MULWALA,$330 
MUMBIL,N/A
MUMBULLA MOUNTAIN,
MUMMEL,
MUMMULGUM,
MUNDONGO,
MUNGAY CREEK,
MUNGINDI,N/A
MUNNI,
MURGA,
MURRAH,
MURRAMI,
MURRAYS BEACH,$580 
MURRINGO,N/A
MURRUMBATEMAN,$550 
MURRUMBURRAH,N/A
MURRURUNDI,$270 
MURWILLUMBAH,$450 
MURWILLUMBAH SOUTH,
MUSWELLBROOK,$380 
MUTTAMA,
MYLESTOM,$400 
MYOCUM,$545 
MYOLA,
MYRTLE CREEK,
MYSTERY BAY,N/A
NABIAC,$395 
NAMBUCCA HEADS,$350 
NANA GLEN,$400 
NANGUS,N/A
NANIMA,
NAPOLEON REEF,
NARADHAN,
NARARA,$450 
NARELLAN,$430 
NARELLAN VALE,$450 
NAREMBURN,"$1,000 "
NAROOMA,N/A
NARRABEEN,"$1,050 "
NARRABRI,$350 
NARRABRI WEST,
NARRABURRA,
NARRANDERA,$240 
NARRAWALLEE,$500 
NARRAWEENA,$750 
NARROMINE,$308 
NARWEE,$585 
NASHDALE,N/A
NASHUA,
NATTAI,
NEATH,$275 
NEILREX,
NELLIGEN,N/A
NELSON,
NELSON,
NELSON BAY,$450 
NELSONS PLAINS,
NELUNGALOO,
NEMINGHA,N/A
NERICON,
NERONG,N/A
NERRIGA,
NERRIGUNDAH,
NETHERCOTE,N/A
NEUREA,
NEUTRAL BAY,$850 
NEUTRAL BAY JUNCTION,
NEVERTIRE,
NEVILLE,N/A
NEW BERRIMA,N/A
NEW BRIGHTON,N/A
NEW LAMBTON,$455 
NEW LAMBTON HEIGHTS,$490 
NEW PARK,
NEWBRIDGE,N/A
NEWCASTLE,N/A
NEWCASTLE EAST,N/A
NEWCASTLE UNIVERSITY,
NEWCASTLE WEST,N/A
NEWEE CREEK,N/A
NEWINGTON,$750 
NEWPORT,$875 
NEWPORT BEACH,
NEWRYBAR,N/A
NEWTON BOYD,
NEWTOWN,$750 
NIAGARA PARK,$450 
NIANGALA,
NIMBIN,$400 
NIMMITABEL,N/A
NOBBYS CREEK,N/A
NORAH HEAD,$410 
NORAVILLE,$390 
NORDS WHARF,$373 
NORFOLK ISLAND,
NORMANHURST,$650 
NORTH ALBURY,$280 
NORTH ARM,
NORTH ARM COVE,$370 
NORTH AVOCA,$575 
NORTH BALGOWLAH,"$1,100 "
NORTH BATEMANS BAY,N/A
NORTH BOAMBEE VALLEY,$503 
NORTH BONDI,"$1,250 "
NORTH CASINO,N/A
NORTH CURL CURL,"$1,055 "
NORTH DORRIGO,N/A
NORTH EPPING,$650 
NORTH GOSFORD,$428 
NORTH HAVEN,$395 
NORTH LAMBTON,$400 
NORTH LISMORE,N/A
NORTH MACKSVILLE,N/A
NORTH MANLY,$925 
NORTH NAROOMA,N/A
NORTH NARRABEEN,$850 
NORTH NOWRA,$428 
NORTH PARRAMATTA,$500 
NORTH RICHMOND,$440 
NORTH ROCKS,$550 
NORTH ROTHBURY,$440 
NORTH RYDE,$650 
NORTH SHORE,N/A
NORTH ST MARYS,$340 
NORTH STAR,
NORTH STRATHFIELD,$720 
NORTH SYDNEY,$875 
NORTH SYDNEY SHOPPINGWORLD,
NORTH TAMWORTH,$375 
NORTH TUMBULGUM,
NORTH TURRAMURRA,"$1,050 "
