Label,Weekly median advertised rent
NORTH WAGGA WAGGA,$320 
NORTH WAHROONGA,"$1,025 "
NORTH WILLOUGHBY,$935 
NORTH WOLLONGONG,N/A
NORTH YEOVAL,
NORTHBRIDGE,"$1,200 "
NORTHMEAD,$490 
NORTHWOOD,"$1,600 "
NOWENDOC,
NOWRA,$380 
NOWRA DC,
NOWRA EAST,
NOWRA HILL,N/A
NULKABA,N/A
NULLAMANNA,
NUMBAA,
NUMBLA VALE,
NUMBUGGA,
NUMERALLA,N/A
NUMINBAH,
NUMULGI,
NUNDERI,N/A
NUNDLE,N/A
NYMAGEE,
NYMBOIDA,N/A
NYNGAN,N/A
O'CONNELL,N/A
OAK FLATS,$470 
OAK FLATS DC,
OAKDALE,$410 
OAKHAMPTON,
OAKHAMPTON HEIGHTS,
OAKHURST,$400 
OAKLANDS,N/A
OAKVILLE,N/A
OAKWOOD,
OATLANDS,$600 
OATLEY,$620 
OBERNE CREEK,
OBERON,$330 
OBLEY,
OCEAN SHORES,$590 
OLD ADAMINABY,
OLD BAR,$400 
OLD BONALBO,
OLD EROWAL BAY,$365 
OLD GUILDFORD,$430 
OLD JUNEE,
OLD KOREELAH,
OLD TOONGABBIE,$463 
ONE MILE,N/A
OOTHA,
ORANGE,$370 
ORANGE EAST,
ORANGE GROVE,
ORANGEVILLE,N/A
ORCHARD HILLS,N/A
ORIENT POINT,N/A
OSTERLEY,
OTFORD,N/A
OURA,N/A
OURIMBAH,$420 
OXFORD FALLS,
OXLEY,
OXLEY,
OXLEY ISLAND,N/A
OXLEY PARK,$360 
OXLEY VALE,$350 
OYSTER BAY,$690 
PACIFIC PALMS,
PADDINGTON,"$1,100 "
PADDYS FLAT,
PADDYS FLAT,
PADDYS RIVER,
PADDYS RIVER,
PADSTOW,$560 
PADSTOW HEIGHTS,$600 
PAGEWOOD,$910 
PALING YARDS,
PALING YARDS,
PALLAMALLAWA,N/A
PALM BEACH,"$1,100 "
PALM GROVE,
PALMDALE,
PALMERS CHANNEL,
PALMERS ISLAND,N/A
PAMBULA,N/A
PAMBULA BEACH,$470 
PAMPOOLAH,N/A
PANANIA,$600 
PARINGI,
PARKES,$320 
PARKESBOURNE,N/A
PARKLEA,$495 
PARKVILLE,N/A
PARMA,
PARRAMATTA,$490 
PARRAMATTA WESTFIELD,
PATERSON,N/A
PATONGA,N/A
PAXTON,$350 
PEAK HILL,N/A
PEAK VIEW,
PEAKHURST,$600 
PEAKHURST HEIGHTS,N/A
PEARL BEACH,$500 
PEATS RIDGE,
PEEL,
PEELWOOD,
PELAW MAIN,$330 
PELICAN,$450 
PELTON,
PEMBROOKE,
PEMULWUY,$640 
PENDLE HILL,$470 
PENNANT HILLS,$650 
PENRITH,$395 
PENROSE,N/A
PENROSE,N/A
PENSHURST,$620 
PERISHER VALLEY,
PERTHVILLE,N/A
PETERSHAM,$720 
PETERSHAM NORTH,
PHEASANTS NEST,N/A
PHEGANS BAY,$470 
PHILLIP BAY,N/A
PIALLAMORE,
PIALLAWAY,
PICKETTS VALLEY,
PICNIC POINT,$635 
PICTON,$430 
PIGGABEEN,N/A
PILLAR VALLEY,N/A
PILLIGA,
PIMLICO,
PINDIMAR,N/A
PIORA,
PITT TOWN,$650 
PITT TOWN BOTTOMS,
PLEASANT HILLS,
PLEASURE POINT,N/A
PLUMPTON,$420 
POINT CLARE,$425 
POINT FREDERICK,$695 
POINT PIPER,N/A
POKOLBIN,N/A
POONCARIE,
PORT BOTANY,
PORT HACKING,N/A
PORT KEMBLA,$425 
PORT MACQUARIE,$450 
PORT MACQUARIE BC,
PORTERS RETREAT,
PORTLAND,$290 
POSSUM BRUSH,
POSSUM CREEK,
POTATO POINT,N/A
POTTS HILL,N/A
POTTS POINT,N/A
POTTSVILLE,$583 
POTTSVILLE BEACH,
PRAIRIEWOOD,$445 
PREMER,
PRESTONS,$525 
PRETTY BEACH,N/A
PRETTY BEACH,
PRIMBEE,$415 
PROSPECT,$410 
PULLABOOKA,
PULLETOP,
PUMPENBIL,
PUNCHBOWL,
PUNCHBOWL,$520 
PURFLEET,
PURLEWAUGH,
PUTNEY,"$1,095 "
PUTTA BUCCA,
PUTTY,N/A
PYMBLE,"$1,000 "
PYREE,
PYRMONT,$770 
QUAAMA,N/A
QUAKERS HILL,$450 
QUAMBONE,
QUANDIALLA,
QUEANBEYAN,$470 
QUEANBEYAN EAST,$470 
QUEANBEYAN WEST,$480 
QUEENS PARK,"$1,450 "
QUEENSCLIFF,$875 
QUIALIGO,
QUIRINDI,$270 
QUORROBOLONG,N/A
RABY,$420 
RAGLAN,$380 
RAINBOW FLAT,N/A
RALEIGH,N/A
RAMORNIE,
RAMSGATE,$600 
RAMSGATE BEACH,N/A
RAND,
RANDWICK,$950 
RANKIN PARK,$480 
RANKINS SPRINGS,
RAPPVILLE,N/A
RATHMINES,$425 
RAVENSDALE,
RAVENSWOOD,N/A
RAVENSWORTH,
RAWORTH,$450 
RAYMOND TERRACE,$360 
RAYMOND TERRACE EAST,
RAZORBACK,N/A
RAZORBACK,
RED HEAD,$390 
RED HILL,
RED HILL,
RED HILL,
RED RANGE,
RED ROCK,N/A
REDBANK,N/A
REDBOURNBERRY,N/A
REDDESTONE,
REDFERN,$800 
REDHEAD,$490 
REEDY CREEK,
REEDY CREEK,
REEFTON,
REGENTS PARK,$478 
REGENTVILLE,$408 
REIDS FLAT,
REIDSDALE,
RENNIE,
REPTON,N/A
RESERVE CREEK,
REVESBY,$550 
REVESBY HEIGHTS,$670 
REVESBY NORTH,
RHODES,$600 
RICHMOND,$420 
RICHMOND HILL,N/A
RICHMOND LOWLANDS,
RILEYS HILL,
RIVERSIDE,N/A
RIVERSTONE,$500 
RIVERVIEW,"$1,100 "
RIVERVIEW,
RIVERWOOD,$520 
ROBERTSON,$460 
ROBIN HILL,N/A
ROCK FLAT,
ROCK FOREST,
ROCK VALLEY,
ROCKDALE,$610 
ROCKDALE DC,
ROCKLEY,N/A
ROCKY CREEK,
ROCKY CREEK,
ROCKY HALL,
ROCKY POINT,N/A
ROCKY RIVER,
ROCKY RIVER,
RODD POINT,$850 
ROLLANDS PLAINS,
ROOTY HILL,$420 
ROPES CROSSING,$495 
ROSE BAY,"$1,400 "
ROSE BAY NORTH,
ROSE VALLEY,
ROSE VALLEY,
ROSEBANK,N/A
ROSEBERRY,
ROSEBERRY CREEK,
ROSEBERY,$750 
ROSEDALE,"$1,000 "
ROSEHILL,N/A
ROSELANDS,$585 
ROSEMEADOW,$390 
ROSEVILLE,"$1,130 "
ROSEVILLE CHASE,"$1,200 "
ROSEWOOD,
ROSEWOOD,
ROSLYN,
ROSSMORE,$550 
ROTHBURY,N/A
ROTO,
ROUCHEL,
ROUND CORNER,
ROUND MOUNTAIN,
ROUS,N/A
ROUS MILL,
ROUSE HILL,$600 
ROWENA,
ROWLANDS CREEK,
ROYAL NORTH SHORE HOSPITAL,
ROYALLA,N/A
ROZELLE,$775 
RUFUS RIVER,
RUGBY,
RUKENVALE,
RUN O WATERS,N/A
RUNNING STREAM,
RUNNYFORD,
RUSE,$418 
RUSHCUTTERS BAY,N/A
RUSSELL LEA,$875 
RUSSELL VALE,$550 
RUTHERFORD,$380 
RYAN,
RYDAL,N/A
RYDALMERE,$495 
RYDE,$660 
RYE PARK,N/A
RYLSTONE,$300 
SACKVILLE,N/A
SACKVILLE NORTH,
SADLEIR,$358 
SAFETY BEACH,$500 
SALAMANDER BAY,$450 
SALISBURY,
SALT ASH,N/A
SAN ISIDORE,N/A
SAN REMO,$360 
SANCROX,N/A
SANCTUARY POINT,$380 
SANDGATE,
SANDRINGHAM,$650 
SANDY BEACH,$440 
SANDY CREEK,
SANDY CREEK,
SANDY FLAT,
SANDY HOLLOW,N/A
SANDY POINT,N/A
SANS SOUCI,$650 
SAPPHIRE BEACH,$550 
SARATOGA,$520 
SAUMAREZ,
SAUMAREZ PONDS,N/A
SAVERNAKE,
SAWTELL,$448 
SAWYERS GULLY,N/A
SCARBOROUGH,N/A
SCHEYVILLE,
SCHOFIELDS,$550 
SCONE,$340 
SCOTLAND ISLAND,N/A
SCOTTS HEAD,N/A
SEAFORTH,"$1,200 "
SEAHAM,N/A
SEAHAMPTON,N/A
SEAL ROCKS,
SEBASTOPOL,
SEDGEFIELD,
SEELANDS,N/A
SEFTON,$470 
SEGENHOE,
SETTLEMENT CITY,
SEVEN HILLS,$410 
SEXTONVILLE,
SHALVEY,$330 
SHANES PARK,
SHANNON BROOK,
SHANNON VALE,N/A
SHANNONS FLAT,
SHELL COVE,$590 
SHELLHARBOUR,$505 
SHELLHARBOUR CITY CENTRE,N/A
SHELLY BEACH,$470 
SHERWOOD,
SHERWOOD,
SHERWOOD,
SHOAL BAY,$425 
SHOALHAVEN HEADS,$440 
SHOOTERS HILL,
SHORTLAND,$380 
SILVERDALE,$515 
SILVERTON,
SILVERWATER,N/A
SILVERWATER,N/A
SINGLETON,$400 
SINGLETON HEIGHTS,$395 
SKENNARS HEAD,$590 
SLEEPY HOLLOW,
SMEATON GRANGE,
SMITHFIELD,$450 
SMITHFIELD WEST,
SMITHS CREEK,N/A
SMITHS CREEK,
SMITHS CREEK,
SMITHS LAKE,$390 
SMITHTOWN,N/A
SODWALLS,
SOFALA,N/A
SOLDIERS POINT,$475 
SOMERSBY,$735 
SOMERTON,N/A
SOUTH ALBURY,$305 
SOUTH ARM,
SOUTH ARM,
SOUTH BOWENFELS,N/A
SOUTH BROKEN HILL,
SOUTH COOGEE,"$1,250 "
SOUTH DURRAS,$700 
SOUTH GOLDEN BEACH,$600 
SOUTH GRAFTON,$330 
SOUTH GRANVILLE,$433 
SOUTH GUNDAGAI,$290 
SOUTH GUNDURIMBA,N/A
SOUTH HURSTVILLE,$600 
SOUTH KEMPSEY,$300 
SOUTH LISMORE,$368 
SOUTH MAITLAND,N/A
SOUTH MAROOTA,N/A
SOUTH MURWILLUMBAH,$450 
SOUTH NOWRA,$475 
SOUTH PAMBULA,N/A
SOUTH PENRITH,$420 
SOUTH TAMWORTH,$310 
SOUTH TURRAMURRA,$850 
SOUTH WENTWORTHVILLE,$480 
SOUTH WEST ROCKS,$400 
SOUTH WINDSOR,$420 
SOUTHGATE,
SPEERS POINT,$460 
SPENCER,N/A
SPICERS CREEK,
SPIT JUNCTION,
SPLITTERS CREEK,
SPRING CREEK,
SPRING FARM,$500 
SPRING GROVE,$280 
SPRING HILL,
SPRING HILL,N/A
SPRING RIDGE,N/A
SPRING TERRACE,
SPRINGDALE,
SPRINGDALE HEIGHTS,$315 
SPRINGFIELD,
SPRINGFIELD,$450 
SPRINGRANGE,
SPRINGSIDE,
SPRINGVALE,N/A
SPRINGWOOD,$450 
ST ALBANS,
ST ANDREWS,$420 
ST CLAIR,
ST CLAIR,$430 
ST FILLANS,N/A
ST GEORGES BASIN,$410 
ST HELENS PARK,$390 
ST HUBERTS ISLAND,$620 
ST IVES,$965 
ST IVES CHASE,$950 
ST JOHNS PARK,$480 
ST LEONARDS,N/A
ST MARYS,$360 
ST MARYS SOUTH,
ST PAULS,
ST PETERS,$730 
STANBRIDGE,
STANFORD MERTHYR,N/A
STANHOPE,
STANHOPE GARDENS,$560 
STANMORE,$820 
STANNIFER,
STANNUM,
STANWELL PARK,$725 
STANWELL TOPS,N/A
STEWARTS RIVER,
STOCKINBINGAL,N/A
STOCKTON,$440 
STOKERS SIDING,N/A
STONEHENGE,
STONY CREEK,
STONY CREEK,
STRATFORD,
STRATHEDEN,
STRATHFIELD,$700 
STRATHFIELD SOUTH,$603 
STROUD,$395 
STROUD ROAD,N/A
STUART TOWN,
STUARTS POINT,$300 
SUFFOLK PARK,$760 
SUMMER HILL,
SUMMER HILL,$683 
SUMMER HILL CREEK,
SUMMERLAND POINT,$400 
SUN VALLEY,
SUNNY CORNER,
SUNSHINE,N/A
SUNSHINE BAY,$400 
SURF BEACH,$405 
SURFSIDE,$400 
SURRY HILLS,$895 
SUSSEX INLET,"$1,005 "
SUTHERLAND,$555 
SUTTON,N/A
SUTTON FOREST,N/A
SWAN BAY,
SWAN BAY,N/A
SWAN CREEK,
SWAN VALE,
SWANHAVEN,
SWANSEA,$393 
SWANSEA HEADS,N/A
SYDENHAM,$710 
SYDNEY,N/A
SYDNEY DOMESTIC AIRPORT,
SYDNEY INTERNATIONAL AIRPORT,
SYDNEY OLYMPIC PARK,N/A
SYDNEY SOUTH,
SYLVANIA,$723 
SYLVANIA SOUTHGATE,
SYLVANIA WATERS,"$1,200 "
TABBITA,
TABLE TOP,N/A
TABULAM,N/A
TACOMA,$460 
TACOMA SOUTH,
TAHLEE,
TAHMOOR,$410 
TALARM,
TALBINGO,N/A
TALLAWANG,N/A
TALLIMBA,
TALLONG,N/A
TALLWOOD,
TALLWOODS VILLAGE,$460 
TALMALMO,
TAMARAMA,"$1,375 "
TAMBAN,
TAMBAR SPRINGS,
TAMBAROORA,
TAMBAROORA,
TAMINDA,
TAMWORTH,
TANILBA BAY,$400 
TANJA,
TANTAWANGALO,
TAPITALLEE,N/A
TARAGO,N/A
TARALGA,N/A
TARANA,
TARBUCK BAY,N/A
TARCUTTA,N/A
TAREE,$340 
TAREE SOUTH,N/A
TAREN POINT,$873 
TARLO,
TARRAGANDA,N/A
TARRAWANNA,$530 
TARRIARO,
TARRO,$345 
TASCOTT,$470 
TATHAM,
TATHRA,$425 
TATTON,$440 
TAYLORS ARM,
TAYLORS BEACH,
TAYLORS FLAT,
TEA GARDENS,$370 
TELARAH,$350 
TELEGRAPH POINT,N/A
TELOPEA,$500 
TEMAGOG,
TEMORA,$275 
TEMPE,$678 
TENAMBIT,$383 
TENNYSON,N/A
TENNYSON POINT,N/A
TENTERFIELD,$240 
TERALBA,$505 
TERARA,
TERMEIL,N/A
TERRAGON,
TERRANORA,$605 
TERREY HILLS,"$1,098 "
TERRIGAL,$550 
Testing,
TEVEN,
THALGARRAH,
THARBOGANG,N/A
THE BRANCH,
THE CHANNON,N/A
THE ENTRANCE,$395 
THE ENTRANCE NORTH,$455 
THE GAP,
THE GAP,
THE HILL,$668 
THE JUNCTION,$550 
THE LAGOON,
THE OAKS,$550 
THE PONDS,$620 
THE RIDGEWAY,
THE RISK,
THE ROCKS,$230 
THE ROCKS,N/A
THE ROCKS,
THE SLOPES,
THE UNIVERSITY OF SYDNEY,
THE WHITEMAN,
THERESA PARK,N/A
THIRLMERE,$480 
THIRROUL,$685 
THORA,N/A
THORNLEIGH,$580 
THORNTON,$435 
THREDBO,
THRUMSTER,$460 
THURGOONA,$390 
TIBOOBURRA,
TICHBORNE,
TIGHES HILL,$460 
TILBA TILBA,
TILBUSTER,
TILPA,
TIMBUMBURI,
TINGHA,N/A
TINGIRA HEIGHTS,$475 
TINONEE,$390 
TINPOT,
TINTENBAR,$750 
TINTINHULL,N/A
TIPPERARY,
TIRRANNAVILLE,
TOCUMWAL,$278 
TOLLAND,$275 
TOMAGO,
TOMAKIN,$510 
TOMERONG,N/A
TOMEWIN,
TOMINGLEY,
TONDERBURINE,
TONGARRA,
TOOGONG,
TOOLEYBUC,N/A
TOOLIJOOA,
TOOMA,
TOONGABBIE,$450 
TOONGABBIE EAST,
TOONUMBAR,
TOORAWEENAH,N/A
TOORMINA,$420 
TOOTHDALE,
TOOWOON BAY,N/A
TORONTO,$380 
TORRINGTON,N/A
TORRYBURN,
TORRYBURN,
TOTTENHAM,N/A
TOUKLEY,$363 
TOWAMBA,N/A
TOWNSEND,$370 
TOWRADGI,$575 
TOWRANG,N/A
TRANGIE,N/A
TREGEAGLE,N/A
TREGEAR,$310 
TRENAYR,
TREWILGA,
TRIANGLE FLAT,
TRUNDLE,N/A
TRUNGLEY HALL,
TRUNKEY CREEK,N/A
TUCABIA,N/A
TUCKOMBIL,
TUENA,
TUGGERAH,$430 
TUGGERAWONG,$360 
TULLAMORE,N/A
TULLIBIGEAL,
TULLIMBAR,$543 
TULLYMORGAN,
TUMBARUMBA,$270 
TUMBI UMBI,$465 
TUMBLONG,
TUMBULGUM,N/A
TUMUT,$310 
TUNCURRY,$390 
TURA BEACH,$463 
TURILL,
TURLINJAH,
TURONDALE,
TUROSS HEAD,$420 
TURRAMURRA,$850 
TURRAWAN,
TURRELLA,N/A
TURVEY PARK,$360 
TWEED HEADS,$530 
TWEED HEADS SOUTH,$525 
TWEED HEADS WEST,$500 
TWELVE MILE,
TWELVE MILE CREEK,
TYAGARAH,
TYALGUM,N/A
TYALGUM CREEK,
TYGALGAH,
TYNDALE,
TYRINGHAM,
UKI,N/A
ULAMAMBRI,
ULAN,
ULLADULLA,$400 
ULMARRA,$400 
ULONG,N/A
ULTIMO,$750 
UMINA BEACH,$390 
UNANDERRA,$420 
UNGARIE,N/A
UPPER BURRINGBAR,N/A
UPPER CORINDI,
UPPER CRYSTAL CREEK,
UPPER DUROBY,
UPPER LANSDOWNE,N/A
UPPER MACDONALD,
UPPER MYALL,
UPPER ORARA,N/A
UPPER ROLLANDS PLAINS,
UPPER ROUCHEL,
UPPER TAYLORS ARM,
UPSALLS CREEK,
URALBA,N/A
URALLA,$295 
URANA,N/A
URANGELINE,
URANGELINE EAST,
URANQUINTY,N/A
URBENVILLE,N/A
URIARRA,
URILA,
URLIUP,
URUNGA,$380 
UTUNGUN,
VACY,N/A
VALENTINE,$540 
VALERY,
VALLA,N/A
VALLA BEACH,$430 
VALLEY HEIGHTS,N/A
VARROVILLE,
VAUCLUSE,"$1,950 "
VERONA,N/A
VILLAWOOD,$550 
VINCENTIA,$480 
VINEYARD,N/A
VITTORIA,
VOYAGER POINT,N/A
WADALBA,$500 
WADBILLIGA,
WAGGA WAGGA,$350 
WAGGA WAGGA BC,
WAGGA WAGGA RAAF,
WAGSTAFFE,N/A
WAHROONGA,$825 
WAITARA,$700 
WAITUI,
WAKEFIELD,N/A
WAKELEY,$400 
WAKOOL,N/A
WALANG,
WALBUNDRIE,
WALCHA,N/A
WALGETT,N/A
WALLA WALLA,N/A
WALLABADAH,N/A
WALLABI POINT,$460 
WALLACIA,$445 
WALLAGA LAKE,N/A
WALLAGOOT,N/A
WALLALONG,N/A
WALLANGRA,
WALLARAH,
WALLAROBBA,
WALLAROO,N/A
WALLENDBEEN,
WALLERAWANG,$380 
WALLSEND,$420 
WALLSEND SOUTH,
WALMER,
WAMBERAL,$593 
WAMBOIN,N/A
WAMBOOL,
WANAARING,
WANDANDIAN,N/A
WANDELLA,
WANDSWORTH,
WANG WAUK,
WANGANELLA,
WANGI WANGI,$400 
WANTABADGERY,
WAPENGO,
WARABROOK,$440 
WARATAH,$420 
WARATAH WEST,$390 
WARDELL,$410 
WARDS RIVER,
WAREEMBA,$693 
WARIALDA,$220 
WARIALDA RAIL,
WARILLA,$435 
WARNERS BAY,$450 
WARNERVALE,$535 
WARRAGAMBA,$385 
WARRAGOON,
WARRAL,N/A
WARRAWEE,$900 
WARRAWONG,$380 
WARRELL CREEK,
WARREN,$255 
WARRIEWOOD,$950 
WARRIEWOOD SHOPPING SQUARE,
WARRIMOO,$390 
WARRINGAH MALL,
WARRIWILLAH,
WARRUMBUNGLE,
WARWICK FARM,$410 
WASHPOOL,
WASHPOOL,
WATANOBBI,$380 
WATERFALL,N/A
WATERLOO,$760 
WATERVIEW HEIGHTS,N/A
WATSONS BAY,N/A
WATSONS CREEK,
WATTAMOLLA,
WATTAMONDARA,N/A
WATTLE FLAT,N/A
WATTLE GROVE,$510 
WATTLE PONDS,N/A
WAUCHOPE,$390 
WAUKIVORY,
WAVERLEY,"$1,000 "
WAVERLY,
WAVERTON,$920 
WAY WAY,
WAYO,
WEBBS CREEK,
WEDDERBURN,N/A
WEE JASPER,N/A
WEE WAA,N/A
WEETALIBA,
WEETHALLE,
WEILMORINGLE,
WELBY,N/A
WELLINGROVE,
WELLINGTON,$280 
WELLS CROSSING,
WENDOREE PARK,
WENTWORTH,$250 
WENTWORTH FALLS,$448 
WENTWORTH POINT,N/A
WENTWORTHVILLE,$470 
WEROMBI,N/A
WERRI BEACH,N/A
WERRINGTON,$378 
WERRINGTON COUNTY,$400 
WERRINGTON DOWNS,$450 
WERRIS CREEK,$250 
WEST ALBURY,$293 
WEST ARMIDALE,
WEST BALLINA,$485 
WEST BATHURST,$320 
WEST GOSFORD,N/A
WEST HAVEN,$460 
WEST HOXTON,$530 
WEST KEMPSEY,$343 
WEST NOWRA,$383 
WEST PENNANT HILLS,$720 
WEST PYMBLE,$895 
WEST RYDE,$600 
WEST TAMWORTH,$310 
WEST WALLSEND,$460 
WEST WOLLONGONG,$475 
WEST WYALONG,N/A
WESTDALE,
WESTDALE,$360 
WESTGATE,
WESTLEIGH,$750 
WESTMEAD,$500 
WESTON,$350 
WETHERILL PARK,$480 
WHALAN,$335 
WHEELER HEIGHTS,$850 
WHERROL FLAT,N/A
WHIAN WHIAN,
WHITE CLIFFS,
WHITE ROCK,N/A
WHITEBRIDGE,$470 
WHITEMAN CREEK,
WHITTINGHAM,N/A
WHITTON,N/A
WHOOTA,
WIANGAREE,N/A
WICKHAM,$450 
WIDGELLI,
WILBERFORCE,$450 
WILBETREE,
WILCANNIA,N/A
WILDES MEADOW,N/A
WILEY PARK,$425 
WILLALA,
WILLAWARRIN,N/A
WILLBRIGGIE,
WILLIAMSDALE,
WILLIAMTOWN,
WILLMOT,$300 
WILLOUGHBY,$910 
WILLOUGHBY EAST,"$1,010 "
WILLOW TREE,N/A
WILLOW VALE,$530 
WILLOW VALE,
WILSONS CREEK,N/A
WILTON,$580 
WIMBLEDON,
WINDALE,$355 
WINDANG,$490 
WINDELLA,N/A
WINDELLAMA,N/A
WINDERMERE PARK,$410 
WINDEYER,N/A
WINDRADYNE,$370 
WINDSOR,$420 
WINDSOR DOWNS,N/A
WINGELLO,N/A
WINGEN,
WINGHAM,$320 
WINMALEE,$460 
WINSTON HILLS,$540 
WINTON,
WIRLINGA,$430 
WIRRIMAH,
WIRRIMBI,
WIRRINYA,
WISEMANS CREEK,
WISEMANS FERRY,N/A
WITTITRIN,
WOG WOG,
WOLLAR,
WOLLI CREEK,N/A
WOLLOMBI,N/A
WOLLOMOMBI,
WOLLONGBAR,$500 
WOLLONGONG,$480 
WOLLSTONECRAFT,$950 
WOLUMLA,N/A
WOMBARRA,N/A
WOMBAT,N/A
WOMBEYAN CAVES,
WOMBOOTA,
WONBOYN,
WONBOYN LAKE,
WONDALGA,
WONGARBON,N/A
WONGAWILLI,N/A
WONGWIBINDA,
WOODBERRY,$360 
WOODBINE,$380 
WOODBURN,N/A
WOODCROFT,$470 
WOODENBONG,N/A
WOODFORD,$450 
WOODFORD ISLAND,N/A
WOODHOUSELEE,
WOODLANDS,N/A
WOODLANDS,
WOODPARK,$450 
WOODRISING,$455 
WOODSIDE,
WOODSTOCK,
WOODSTOCK,
WOODSTOCK,N/A
WOODVIEW,
WOODVILLE,$320 
WOOLBROOK,
WOOLGOOLGA,$450 
WOOLI,N/A
WOOLLAHRA,"$1,250 "
WOOLLAMIA,N/A
WOOLLOOMOOLOO,N/A
WOOLOMIN,N/A
WOOLOOWARE,$800 
WOOLOWEYAH,N/A
WOOLWICH,N/A
WOOMARGAMA,
WOOMBAH,$350 
WOONGARRAH,$500 
WOONONA,$600 
WOONONA EAST,
WOOTTON,N/A
WORONORA,$650 
WORONORA HEIGHTS,N/A
WORRIGEE,$415 
WORROWING HEIGHTS,
WOY WOY,$395 
WOY WOY BAY,$495 
WRIGHTS BEACH,
WYALONG,N/A
WYANGALA,
WYBONG,
WYEE,N/A
WYEE POINT,N/A
WYLIE CREEK,
WYNDHAM,N/A
WYOMING,$450 
WYONG,$395 
WYONG CREEK,N/A
WYONGAH,$403 
WYRALLAH,N/A
YAGOONA,$500 
YAGOONA WEST,
YALBRAITH,
YALLAH,
YALWAL,
YAMBA,$480 
YANCO,N/A
YANDERRA,N/A
YANTABULLA,
YAOUK,
YARRA,
YARRAGUNDRY,
YARRAHAPINNI,
YARRAMALONG,N/A
YARRAMUNDI,N/A
YARRANBELLA,
YARRAVEL,N/A
YARRAWARRAH,N/A
YARRAWONGA,N/A
YARRAWONGA PARK,$370 
YARRIE LAKE,
YARROWITCH,
YARROWYCK,
YASS,$340 
YATTALUNGA,$400 
YATTE YATTAH,
YELGUN,
YELLOW ROCK,
YELLOW ROCK,N/A
YENDA,$310 
YENNORA,$450 
YEOVAL,N/A
YERONG CREEK,
YERRINBOOL,$460 
YETHOLME,N/A
YETMAN,
YIPPIN CREEK,$455 
YOOGALI,N/A
YORKLEA,
YOUNG,$280 
YOWIE BAY,$800 
YOWRIE,
ZETLAND,$875 