suburb,id
Abbotsbury,1
Abbotsford,2
Abercrombie,3
Aberdare,4
Aberdeen,5
Aberglasslyn,6
Abermain,7
Abernethy,8
Acacia Creek,9
Acacia Gardens,10
Adaminaby,11
Adamstown,12
Adamstown Heights,13
Adelong,14
Agnes Banks,15
Airds,16
Albion Park,17
Albion Park Rail,18
Albury,19
Aldavilla,20
Alectown,21
Alexandria,22
Alfords Point,23
Alison,24
Allambie Heights,25
Allawah,26
Allworth,27
Alpine,28
Alstonville,29
Ambarvale,30
Anglers Reach,31
Angourie,32
Anna Bay,33
Annandale,34
Annangrove,35
Appin,36
Apple Tree Flat,37
Arakoon,38
Arcadia,39
Arcadia Vale,40
Ardlethan,41
Argenton,42
Ariah Park,43
Armatree,44
Armidale,45
Arncliffe,46
Arndell Park,47
Arrawarra,48
Arrawarra Headland,49
Artarmon,50
Ashbury,51
Ashcroft,52
Ashfield,53
Ashley,54
Ashmont,55
Ashtonfield,56
Asquith,57
Auburn,58
Austinmer,59
Austral,60
Avalon,61
Avalon Beach,62
Avoca Beach,63
Avondale,64
Avonside,65
Awaba,66
Baan Baa,67
Badgerys Creek,68
Balaclava,69
Balcolyn,70
Balgowlah,71
Balgowlah Heights,72
Balgownie,73
Ballina,74
Balmain,75
Balmain East,76
Bangalee,77
Bangalow,78
Bangor,79
Banksia,80
Banksmeadow,81
Bankstown,82
Bankstown Aerodrome,83
Banora Point,84
Bar Beach,85
Baradine,86
Barangaroo,87
Barden Ridge,88
Bardia,89
Bardwell Park,90
Bardwell Valley,91
Barellan,92
Bargo,93
Barham,94
Barmedman,95
Barnsley,96
Barraba,97
Barrack Heights,98
Barrack Point,99
Barrengarry,100
Barry,101
Basin View,102
Bass Hill,103
Bateau Bay,104
Batehaven,105
Batemans Bay,106
Bathurst,107
Batlow,108
Baulkham Hills,109
Bawley Point,110
Bayview,111
Beacon Hill,112
Beaconsfield,113
Beaumont Hills,114
Beckom,115
Beechwood,116
Beecroft,117
Beecroft Peninsula,118
Beelbangera,119
Bega,120
Belbora,121
Belfield,122
Belford,123
Belimbla Park,124
Bell,125
Bella Vista,126
Bellambi,127
Bellata,128
Bellawongarah,129
Bellbird,130
Bellbird Heights,131
Bellbrook,132
Bellevue Hill,133
Bellingen,134
Belmont,135
Belmont North,136
Belmont South,137
Belmore,138
Belrose,139
Bemboka,140
Ben Bullen,141
Benandarah,142
Bendalong,143
Bendemeer,144
Bendick Murrell,145
Benerembah,146
Bennetts Green,147
Bensville,148
Berala,149
Berambing,150
Beresfield,151
Bergalia,152
Berkeley,153
Berkeley Vale,154
Berkshire Park,155
Bermagui,156
Berowra,157
Berowra Creek,158
Berowra Heights,159
Berowra Waters,160
Berrara,161
Berridale,162
Berrigan,163
Berrilee,164
Berrima,165
Berry,166
Bethungra,167
Beverley Park,168
Beverly Hills,169
Bewong,170
Bexley,171
Bexley North,172
Bibbenluke,173
Bickley Vale,174
Bidwill,175
Bigga,176
Bilambil,177
Bilambil Heights,178
Bilbul,179
Bilgola,180
Bilgola Beach,181
Bilgola Plateau,182
Billimari,183
Billinudgel,184
Bilpin,185
Binalong,186
Bingara,187
Biniguy,188
Binnaway,189
Binya,190
Birchgrove,191
Birmingham Gardens,192
Birrong,193
Black Head,194
Black Hill,195
Black Springs,196
Blackalls Park,197
Blackbutt,198
Blackett,199
Blackheath,200
Blackmans Flat,201
Blackmans Point,202
Blacksmiths,203
Blacktown,204
Blackwall,205
Blair Athol,206
Blairmount,207
Blakebrook,208
Blakehurst,209
Blaxland,210
Blayney,211
Bligh Park,212
Blighty,213
Blue Bay,214
Blue Haven,215
Blue Knob,216
Blueys Beach,217
Boambee,218
Boambee East,219
Boat Harbour,220
Bobs Farm,221
Bodalla,222
Bogan Gate,223
Bogangar,224
Boggabilla,225
Boggabri,226
Bohena Creek,227
Bolivia,228
Bolton Point,229
Bolwarra,230
Bolwarra Heights,231
Bomaderry,232
Bombala,233
Bombira,234
Bombo,235
Bomen,236
Bonalbo,237
Bondi,238
Bondi Beach,239
Bondi Junction,240
Bonnells Bay,241
Bonnet Bay,242
Bonny Hills,243
Bonnyrigg,244
Bonnyrigg Heights,245
Bonville,246
Booker Bay,247
Boolaroo,248
Boomerang Beach,249
Booragul,250
Booral,251
Boorooma,252
Boorowa,253
Boree Creek,254
Borenore,255
Bossley Park,256
Bostobrick,257
Botany,258
Bouddi,259
Bourke,260
Bourkelands,261
Bournda,262
Bow Bowing,263
Bowen Mountain,264
Bowenfels,265
Bowning,266
Bowral,267
Bowraville,268
Box Hill,269
Bradbury,270
Braemar,271
Braidwood,272
Brandy Hill,273
Branxton,274
Breadalbane,275
Breakfast Point,276
Bredbo,277
Brewarrina,278
Brewongle,279
Bribbaree,280
Bridgman,281
Brightwaters,282
Bringelly,283
Broadmeadow,284
Broadwater,285
Brocklehurst,286
Brogans Creek,287
Brogo,288
Broke,289
Broken Head,290
Broken Hill,291
Bronte,292
Brooklyn,293
Brookvale,294
Broulee,295
Brownlow Hill,296
Brownsville,297
Brucedale,298
Brundee,299
Brunswick Heads,300
Bucca,301
Buchanan,302
Buckajo,303
Buddabadah,304
Budgee Budgee,305
Budgewoi,306
Buff Point,307
Bugaldie,308
Bulahdelah,309
Bulga,310
Bullaburra,311
Bullarah,312
Bulli,313
Bulliac,314
Bumbaldry,315
Bundagen,316
Bundanoon,317
Bundarra,318
Bundeena,319
Bundook,320
Bungarribee,321
Bungendore,322
Bungonia,323
Bungwahl,324
Buronga,325
Burraboi,326
Burradoo,327
Burraneer,328
Burrawang,329
Burrell Creek,330
Burren Junction,331
Burrill Lake,332
Burringbar,333
Burrundulla,334
Burwood,335
Burwood Heights,336
Busby,337
Bushells Ridge,338
Buttaba,339
Buttai,340
Buxton,341
Byabarra,342
Bylong,343
Byron Bay,344
Bywong,345
Cabarita,346
Cabarita Beach,347
Cabramatta,348
Cabramatta West,349
Cabramurra,350
Caddens,351
Calala,352
Calderwood,353
Caldwell,354
Calga,355
Callaghan,356
Callala Bay,357
Callala Beach,358
Cambewarra,359
Cambewarra Village,360
Cambridge Gardens,361
Cambridge Park,362
Camden,363
Camden Head,364
Camden Park,365
Camden South,366
Camellia,367
Cameron Park,368
Cammeray,369
Campbelltown,370
Camperdown,371
Campsie,372
Campvale,373
Cams Wharf,374
Canada Bay,375
Canadian Lead,376
Candelo,377
Cangai,378
Canley Heights,379
Canley Vale,380
Canobolas,381
Canoelands,382
Canowindra,383
Canterbury,384
Canton Beach,385
Capertee,386
Captains Flat,387
Caragabal,388
Carcoar,389
Cardiff,390
Cardiff Heights,391
Cardiff South,392
Carey Bay,393
Cargo,394
Caringbah,395
Caringbah South,396
Carlingford,397
Carlton,398
Carnes Hill,399
Carool,400
Caroona,401
Carramar,402
Carrington,403
Carroll,404
Carrs Creek,405
Carss Park,406
Cartwright,407
Cartwrights Hill,408
Carwoola,409
Casino,410
Cassilis,411
Castle Cove,412
Castle Doyle,413
Castle Hill,414
Castlecrag,415
Castlereagh,416
Casuarina,417
Casula,418
Catalina,419
Catherine Field,420
Catherine Hill Bay,421
Cathundral,422
Cattai,423
Caves Beach,424
Cawdor,425
Cawongla,426
Cecil Hills,427
Cecil Park,428
Centennial Park,429
Central Mangrove,430
Central Tilba,431
Cessnock,432
Chain Valley Bay,433
Chakola,434
Charbon,435
Charles Sturt University,436
Charlestown,437
Charlotte Bay,438
Charmhaven,439
Chatswood,440
Chatswood West,441
Chatsworth,442
Cheero Point,443
Cheltenham,444
Cherrybrook,445
Chester Hill,446
Chifley,447
Chilcotts Grass,448
Chillingham,449
Chinderah,450
Chippendale,451
Chipping Norton,452
Chisholm,453
Chiswick,454
Chittaway Bay,455
Chittaway Point,456
Chullora,457
Church Point,458
Clandulla,459
Claremont Meadows,460
Clarence,461
Clarence Town,462
Clarendon,463
Clarenza,464
Clareville,465
Claymore,466
Clearfield,467
Clemton Park,468
Clergate,469
Cliftleigh,470
Clifton,471
Clifton Grove,472
Clontarf,473
Clothiers Creek,474
Clovass,475
Clovelly,476
Clunes,477
Clyde,478
Coal Point,479
Coalcliff,480
Coasters Retreat,481
Cobar,482
Cobargo,483
Cobbadah,484
Cobbitty,485
Coffee Camp,486
Coffs Harbour,487
Coila,488
Colebee,489
Coledale,490
Collaroy,491
Collaroy Plateau,492
Collector,493
Collombatti,494
Colly Blue,495
Colo,496
Colo Vale,497
Colyton,498
Comberton,499
Comboyne,500
Como,501
Conargo,502
Concord,503
Concord West,504
Condell Park,505
Condobolin,506
Condong,507
Congarinni North,508
Coniston,509
Conjola,510
Conjola Park,511
Connells Point,512
Constitution Hill,513
Coogee,514
Cooks Hill,515
Coolac,516
Coolagolite,517
Coolah,518
Coolamon,519
Coolongolook,520
Cooma,521
Coomba Bay,522
Coomba Park,523
Coonabarabran,524
Coonamble,525
Coopernook,526
Coorabell,527
Cooranbong,528
Cootamundra,529
Cooyal,530
Copacabana,531
Copmanhurst,532
Coraki,533
Coramba,534
Cordeaux Heights,535
Corindi Beach,536
Corlette,537
Corney Town,538
Corowa,539
Corrimal,540
Corunna,541
Cottage Point,542
Couridjah,543
Coutts Crossing,544
Cowan,545
Cowra,546
Crackenback,547
Cranebrook,548
Crangan Bay,549
Craven,550
Cremorne,551
Cremorne Point,552
Crescent Head,553
Crestwood,554
Cringila,555
Cromer,556
Cronulla,557
Crookwell,558
Croudace Bay,559
Crowdy Head,560
Crows Nest,561
Crowther,562
Croydon,563
Croydon Park,564
Crystal Creek,565
Cudal,566
Cudgen,567
Cudmirrah,568
Culburra Beach,569
Culcairn,570
Cullen Bullen,571
Cullerin,572
Cumbalum,573
Cundletown,574
Cunjurong Point,575
Curl Curl,576
Curlwaa,577
Currabubula,578
Curramore,579
Currans Hill,580
Currarong,581
Currawong Beach,582
Daceyville,583
Dairymans Plains,584
Daleys Point,585
Dalgety,586
Dalmeny,587
Dandry,588
Dangar Island,589
Dapto,590
Darawank,591
Darbys Falls,592
Dareton,593
Dargan,594
Darkes Forest,595
Darling Point,596
Darlinghurst,597
Darlington,598
Daroobalgie,599
Davidson,600
Davistown,601
Dawes Point,602
Dean Park,603
Dee Why,604
Deep Creek,605
Deepwater,606
Delegate,607
Delungra,608
Denham Court,609
Deniliquin,610
Denistone,611
Denistone East,612
Denistone West,613
Denman,614
Derriwong,615
Deua,616
Dharruk,617
Dhuragoon,618
Diamond Beach,619
Dilkoon,620
Dirty Creek,621
Dolans Bay,622
Dolls Point,623
Doon Doon,624
Doonbah,625
Doonside,626
Dooralong,627
Dora Creek,628
Dorrigo,629
Dorroughby,630
Double Bay,631
Douglas Park,632
Dover Heights,633
Doyalson,634
Doyalson North,635
Drake Village,636
Drummoyne,637
Dubbo,638
Duckenfield,639
Dudley,640
Duffys Forest,641
Dulwich Hill,642
Dunbogan,643
Dundas,644
Dundas Valley,645
Dunedoo,646
Dungog,647
Dunkeld,648
Dunmore,649
Duns Creek,650
Dural,651
Duranbah,652
Duri,653
Durras North,654
Durren Durren,655
Dyers Crossing,656
Eagle Vale,657
Earlwood,658
East Albury,659
East Ballina,660
East Branxton,661
East Corrimal,662
East Gosford,663
East Gresford,664
East Hills,665
East Jindabyne,666
East Kangaloon,667
East Kempsey,668
East Killara,669
East Kurrajong,670
East Lindfield,671
East Lismore,672
East Lynne,673
East Maitland,674
East Ryde,675
East Tamworth,676
East Wagga Wagga,677
Eastern Creek,678
Eastgardens,679
Eastlakes,680
Eastwood,681
Eatonsville,682
Ebenezer,683
Ebor,684
Eden,685
Edensor Park,686
Edgecliff,687
Edgeroi,688
Edgeworth,689
Edith,690
Edmondson Park,691
Eglinton,692
Elands,693
Elanora Heights,694
Elderslie,695
Eleebana,696
Elermore Vale,697
Elizabeth Bay,698
Elizabeth Beach,699
Elizabeth Hills,700
Ellalong,701
Ellis Lane,702
Elong Elong,703
Elrington,704
Elsmore,705
Emerald Beach,706
Emerald Hill,707
Emerton,708
Emmaville,709
Empire Bay,710
Emu Heights,711
Emu Plains,712
Enfield,713
Engadine,714
Englorie Park,715
Enmore,716
Epping,717
Eraring,718
Erigolia,719
Erina,720
Erina Heights,721
Ermington,722
Erowal Bay,723
Erskine Park,724
Erskineville,725
Eschol Park,726
Estella,727
Ettalong Beach,728
Euabalong,729
Euabalong West,730
Euchareena,731
Eugowra,732
Eumungerie,733
Eunanoreenya,734
Eungai Creek,735
Eungai Rail,736
Eungella,737
Eureka,738
Eurunderee,739
Evans Head,740
Eveleigh,741
Ewingsdale,742
Exeter,743
Fairfield,744
Fairfield East,745
Fairfield Heights,746
Fairfield West,747
Fairlight,748
Fairy Hill,749
Fairy Meadow,750
Falls Creek,751
Farley,752
Farmborough Heights,753
Fassifern,754
Faulconbridge,755
Federal,756
Fennell Bay,757
Fern Bay,758
Fernbank Creek,759
Fernhill,760
Ferodale,761
Figtree,762
Fingal Bay,763
Fingal Head,764
Finley,765
Fishermans Paradise,766
Fishing Point,767
Fitzroy Falls,768
Five Dock,769
Fletcher,770
Flinders,771
Floraville,772
Forbes,773
Forbesdale,774
Forest Glen,775
Forest Lodge,776
Forestville,777
Forresters Beach,778
Forster,779
Fountaindale,780
Foxground,781
Frederickton,782
Freemans Reach,783
Freemans Waterhole,784
French Park,785
Frenchs Forest,786
Freshwater,787
Frogs Hollow,788
Fullerton Cove,789
Galong,790
Galston,791
Ganmain,792
Garden Suburb,793
Gateshead,794
Geehi,795
Gemalla,796
Georges Hall,797
Georges Plains,798
Georgetown,799
Gerogery,800
Gerringong,801
Gerroa,802
Geurie,803
Gibraltar Range,804
Gidginbung,805
Gilead,806
Gilgai,807
Gilgandra,808
Gillieston Heights,809
Girards Hill,810
Girilambone,811
Girral,812
Girraween,813
Gladesville,814
Gladstone,815
Glebe,816
Gledswood Hills,817
Glen Alpine,818
Glen Innes,819
Glen Oak,820
Glenbrook,821
Glencoe,822
Glendale,823
Glendenning,824
Glenfield,825
Glenfield Park,826
Glenhaven,827
Glenmore Park,828
Glennies Creek,829
Glenning Valley,830
Glenorie,831
Glenquarry,832
Glenreagh,833
Glenridding,834
Glenthorne,835
Glenwood,836
Glossodia,837
Gloucester,838
Gobbagombalin,839
Gol Gol,840
Gongolgon,841
Goobarragandra,842
Googong,843
Goolgowi,844
Goolmangar,845
Goonellabah,846
Goonengerry,847
Gordon,848
Gormans Hill,849
Gorokan,850
Gosford,851
Gostwyck,852
Goulburn,853
Grabben Gullen,854
Grafton,855
Grahamstown,856
Granville,857
Grasmere,858
Grassy Head,859
Grays Point,860
Great Mackerel Beach,861
Green Pigeon,862
Green Point,863
Green Valley,864
Greenacre,865
Greendale,866
Greenethorpe,867
Greenfield Park,868
Greengrove,869
Greenhill,870
Greenwell Point,871
Greenwich,872
Gregory Hills,873
Greigs Flat,874
Grenfell,875
Gresford,876
Greta,877
Greta Main,878
Greystanes,879
Griffith,880
Grong Grong,881
Grose Vale,882
Grose Wold,883
Guildford,884
Guildford West,885
Gulargambone,886
Gulgong,887
Gumly Gumly,888
Gundagai,889
Gundaroo,890
Gunderman,891
Gunnedah,892
Gunning,893
Gunningbland,894
Gurley,895
Guyra,896
Gwabegar,897
Gwandalan,898
Gwynneville,899
Gymea,900
Gymea Bay,901
Haberfield,902
Halekulani,903
Halfway Creek,904
Hallidays Point,905
Halloran,906
Hamilton,907
Hamilton East,908
Hamilton North,909
Hamilton South,910
Hamilton Valley,911
Hamlyn Terrace,912
Hammondville,913
Hampton,914
Hannam Vale,915
Hanwood,916
Harden,917
Hardys Bay,918
Harefield,919
Harpers Hill,920
Harrington,921
Harrington Park,922
Harris Park,923
Hartley,924
Hartley Vale,925
Harwood,926
Hassall Grove,927
Hastings Point,928
Havilah,929
Hawkesbury Heights,930
Hawks Nest,931
Hay,932
Haymarket,933
Haywards Bay,934
Hazelbrook,935
Heathcote,936
Heatherbrae,937
Hebersham,938
Heckenberg,939
Heddon Greta,940
Helensburgh,941
Henley,942
Henty,943
Hermidale,944
Hermitage Flat,945
Herons Creek,946
Hexham,947
Hill End,948
Hill Top,949
Hilldale,950
Hillsborough,951
Hillsdale,952
Hillvue,953
Hinchinbrook,954
Hobartville,955
Hogarth Range,956
Holbrook,957
Holgate,958
Holmesville,959
Holroyd,960
Holsworthy,961
Homebush,962
Homebush West,963
Horningsea Park,964
Hornsby,965
Hornsby Heights,966
Horsfield Bay,967
Horsley,968
Horsley Park,969
Howlong,970
Hoxton Park,971
Hunters Hill,972
Hunterview,973
Huntingwood,974
Huntley,975
Huntleys Cove,976
Huntleys Point,977
Hurlstone Park,978
Hurstville,979
Hurstville Grove,980
Huskisson,981
Hyams Beach,982
Ilarwill,983
Illawong,984
Iluka,985
Ingleburn,986
Ingleside,987
Inverell,988
Islington,989
Jackadgery,990
Jacky Bulbin Flat,991
Jamberoo,992
Jamisontown,993
Jannali,994
Jeir,995
Jellat Jellat,996
Jenolan,997
Jerilderie,998
Jerrabomberra,999
Jerrara,1000
Jerrawa,1001
Jerrys Plains,1002
Jesmond,1003
Jewells,1004
Jilliby,1005
Jindabyne,1006
Jindera,1007
Jingellic,1008
Johns River,1009
Jolly Nose,1010
Jordan Springs,1011
Jugiong,1012
Junction Hill,1013
Junee,1014
Kahibah,1015
Kalaru,1016
Kamarah,1017
Kanahooka,1018
Kandos,1019
Kangaloon,1020
Kangaroo Valley,1021
Kangy Angy,1022
Kanwal,1023
Kapooka,1024
Karaak Flat,1025
Karabar,1026
Kareela,1027
Kariong,1028
Karuah,1029
Katoomba,1030
Kearns,1031
Kearsley,1032
Keepit,1033
Keerrong,1034
Keiraville,1035
Kellyville,1036
Kellyville Ridge,1037
Kelso,1038
Kembla Grange,1039
Kembla Heights,1040
Kemps Creek,1041
Kempsey,1042
Kendall,1043
Kensington,1044
Kenthurst,1045
Kentlyn,1046
Kentucky,1047
Kentucky South,1048
Kerrabee,1049
Kerrs Creek,1050
Khancoban,1051
Kiama,1052
Kiama Downs,1053
Kiama Heights,1054
Kianga,1055
Kiar,1056
Kilaben Bay,1057
Kilgra,1058
Killara,1059
Killarney Heights,1060
Killarney Vale,1061
Killawarra,1062
Killcare,1063
Killcare Heights,1064
Killimicat,1065
Killingworth,1066
Kinchela,1067
Kincumber,1068
Kincumber South,1069
King Creek,1070
Kingfisher Shores,1071
Kings Langley,1072
Kings Park,1073
Kings Plains,1074
Kings Point,1075
Kingscliff,1076
Kingsford,1077
Kingsgrove,1078
Kingsvale,1079
Kingswood,1080
Kioloa,1081
Kirkham,1082
Kirrawee,1083
Kirribilli,1084
Kiwarrak,1085
Klori,1086
Knockrow,1087
Kogarah,1088
Kogarah Bay,1089
Koolewong,1090
Koolkhan,1091
Koonawarra,1092
Koonorigan,1093
Kooragang,1094
Koorawatha,1095
Kooringal,1096
Kootingal,1097
Koraleigh,1098
Korora,1099
Kotara,1100
Kotara South,1101
Krambach,1102
Kulnura,1103
Kundabung,1104
Kungala,1105
Kunghur,1106
Kurmond,1107
Kurnell,1108
Kurraba Point,1109
Kurrajong,1110
Kurrajong Heights,1111
Kurrajong Hills,1112
Kurri Kurri,1113
Kyalite,1114
Kyeemagh,1115
Kyle Bay,1116
Kyogle,1117
La Perouse,1118
Laffing Waters,1119
Laggan,1120
Laguna,1121
Lake Albert,1122
Lake Bathurst,1123
Lake Cargelligo,1124
Lake Cathie,1125
Lake Conjola,1126
Lake Cowal,1127
Lake George,1128
Lake Haven,1129
Lake Heights,1130
Lake Illawarra,1131
Lake Munmorah,1132
Lake Tabourie,1133
Lakemba,1134
Lakesland,1135
Lakewood,1136
Lalor Park,1137
Lambton,1138
Lane Cove,1139
Lane Cove North,1140
Lane Cove West,1141
Langley Vale,1142
Lanitza,1143
Lansdowne,1144
