suburb_id,suburb,Bus stop,Coffee shop,Dentist,Hair care,Motor repair,Restaurant,Orchard,Clothing store,Train station
1,Abbotsbury,25,3,0,2,1,4,0,0,0
2,Abbotsford,1,3,0,1,0,5,0,0,0
3,Abercrombie,1,0,0,0,0,0,0,0,0
4,Aberdare,12,0,0,1,0,2,0,0,0
5,Aberdeen,0,1,0,0,0,1,0,0,1
6,Aberglasslyn,11,1,0,2,0,1,0,0,0
7,Abermain,12,0,0,1,0,2,0,0,0
8,Abernethy,3,0,0,0,0,0,0,0,0
9,Acacia Creek,0,0,0,0,1,0,0,0,0
10,Acacia Gardens,16,0,0,1,0,0,0,1,0
11,Adaminaby,1,2,0,0,0,2,0,0,0
12,Adamstown,28,10,6,14,7,20,0,6,1
13,Adamstown Heights,22,0,0,1,0,0,0,0,0
14,Adelong,1,1,0,1,2,2,0,1,0
15,Agnes Banks,6,0,0,0,0,0,1,0,0
16,Airds,27,0,0,0,1,1,0,0,0
17,Albion Park,35,9,2,14,5,21,0,5,0
18,Albion Park Rail,43,4,0,5,31,11,0,7,0
19,Albury,19,44,32,44,19,59,1,60,1
20,Aldavilla,3,0,0,0,0,0,0,0,0
21,Alectown,1,0,0,0,0,0,0,0,1
22,Alexandria,33,40,9,11,21,50,2,30,1
23,Alfords Point,16,0,0,2,0,1,0,0,0
24,Alison,1,0,0,0,0,2,0,0,0
25,Allambie Heights,31,4,3,2,3,9,0,2,0
26,Allawah,2,1,1,5,0,8,0,0,0
27,Allworth,1,0,0,0,0,0,0,0,0
28,Alpine,1,0,0,0,0,0,0,0,0
29,Alstonville,4,6,5,9,2,11,0,3,0
30,Ambarvale,26,2,0,1,1,6,0,5,0
31,Anglers Reach,1,0,0,0,0,0,0,0,0
32,Angourie,1,0,0,0,0,1,0,0,0
33,Anna Bay,33,4,0,3,4,5,0,3,0
34,Annandale,11,15,3,7,3,30,0,7,0
35,Annangrove,28,2,0,2,2,3,0,1,0
36,Appin,12,2,0,2,4,8,0,1,0
37,Apple Tree Flat,0,0,0,0,0,0,1,0,0
38,Arakoon,0,1,0,0,0,1,0,0,0
39,Arcadia,22,1,0,1,2,0,0,0,0
40,Arcadia Vale,10,0,0,0,0,0,0,0,0
41,Ardlethan,1,2,0,0,0,1,0,0,1
42,Argenton,9,1,0,1,1,4,0,2,0
43,Ariah Park,2,1,0,0,1,1,0,0,1
44,Armatree,0,0,0,0,0,0,0,0,1
45,Armidale,33,36,15,32,43,60,0,35,2
46,Arncliffe,13,5,4,11,24,23,0,1,1
47,Arndell Park,15,7,0,3,30,14,0,4,0
48,Arrawarra,1,1,0,0,0,1,0,0,0
49,Arrawarra Headland,3,0,0,0,0,0,0,0,0
50,Artarmon,15,18,4,3,57,36,0,1,1
51,Ashbury,15,2,0,2,1,3,0,0,0
52,Ashcroft,18,0,0,0,0,1,0,0,0
53,Ashfield,43,23,22,21,14,52,0,4,1
54,Ashley,0,0,0,0,0,0,0,0,1
55,Ashmont,6,1,0,1,11,2,0,1,0
56,Ashtonfield,24,1,0,2,1,2,0,2,0
57,Asquith,24,2,2,3,8,9,0,4,1
58,Auburn,51,25,16,19,22,57,0,17,1
59,Austinmer,15,3,0,2,1,3,0,1,1
60,Austral,5,1,2,2,3,10,0,1,0
62,Avalon Beach,47,15,3,12,2,39,0,23,0
63,Avoca Beach,40,9,1,4,0,16,0,2,0
64,Avondale,0,0,0,0,0,0,0,1,0
65,Avonside,0,0,0,0,0,0,0,1,0
66,Awaba,2,0,0,0,1,0,0,0,1
67,Baan Baa,0,0,0,0,0,0,0,0,1
68,Badgerys Creek,5,0,0,0,0,0,0,0,0
69,Balaclava,0,0,0,1,0,0,0,0,0
70,Balcolyn,2,0,0,0,0,0,0,0,0
71,Balgowlah,34,13,11,16,6,36,0,15,0
72,Balgowlah Heights,24,3,1,2,0,5,0,1,0
73,Balgownie,32,3,1,8,2,4,0,3,0
74,Ballina,19,32,20,28,46,54,0,37,0
75,Balmain,23,25,23,32,2,52,0,22,0
76,Balmain East,4,2,0,0,0,2,0,1,0
77,Bangalee,0,1,0,0,0,1,0,0,0
78,Bangalow,3,7,2,7,4,13,0,17,0
79,Bangor,6,1,0,3,0,4,0,0,0
80,Banksia,4,4,0,2,7,4,0,3,1
81,Banksmeadow,7,5,0,1,11,10,0,3,0
82,Bankstown,54,53,37,52,51,60,0,60,1
83,Bankstown Aerodrome,4,1,0,0,1,2,0,0,0
84,Banora Point,37,3,2,9,2,8,0,5,0
85,Bar Beach,7,2,0,2,0,3,0,2,0
86,Baradine,1,1,0,0,0,1,0,0,0
87,Barangaroo,0,17,1,4,0,38,1,7,0
88,Barden Ridge,26,0,0,0,1,0,0,0,0
89,Bardia,3,0,1,1,0,0,0,0,0
90,Bardwell Park,18,2,1,4,0,3,0,0,1
91,Bardwell Valley,8,0,0,0,0,1,0,0,0
92,Barellan,1,1,0,0,0,1,0,0,2
93,Bargo,21,0,1,5,6,9,0,0,1
94,Barham,0,2,1,1,0,5,0,1,0
95,Barmedman,1,1,0,0,1,0,0,0,3
96,Barnsley,0,0,0,1,0,1,0,0,0
97,Barraba,1,3,0,1,2,2,0,2,0
98,Barrack Heights,27,0,1,0,13,3,0,1,0
99,Barrack Point,7,0,0,0,0,0,0,1,0
100,Barrengarry,16,2,0,0,0,1,0,0,0
101,Barry,1,0,0,0,0,0,0,0,0
102,Basin View,2,1,0,1,0,1,0,0,0
103,Bass Hill,36,6,4,8,2,26,0,8,0
104,Bateau Bay,44,7,3,14,0,21,0,13,0
105,Batehaven,7,2,1,2,0,8,0,0,0
106,Batemans Bay,2,21,6,13,45,41,0,26,0
107,Bathurst,29,33,13,32,34,58,0,53,1
108,Batlow,1,3,0,0,1,1,1,3,0
109,Baulkham Hills,52,22,48,20,4,46,0,13,0
110,Bawley Point,1,1,0,0,0,1,0,0,0
111,Bayview,18,1,0,0,0,1,0,0,0
112,Beacon Hill,21,1,0,1,3,1,0,3,0
113,Beaconsfield,2,0,0,0,1,0,0,2,0
114,Beaumont Hills,32,1,2,4,0,3,0,0,0
115,Beckom,1,0,0,0,0,0,0,0,2
116,Beechwood,0,0,0,1,0,1,0,0,0
117,Beecroft,28,10,8,9,0,16,0,7,1
118,Beecroft Peninsula,6,0,0,0,0,0,0,0,0
119,Beelbangera,1,0,0,0,0,0,0,0,0
120,Bega,38,9,5,7,23,14,0,10,0
121,Belbora,1,0,0,0,0,0,0,0,0
122,Belfield,25,2,1,8,7,7,0,2,0
123,Belford,2,0,0,0,0,0,0,0,0
124,Belimbla Park,8,0,0,0,0,1,0,0,0
125,Bell,2,0,0,0,0,0,0,0,1
126,Bella Vista,38,18,15,12,1,40,0,3,0
127,Bellambi,18,2,0,1,6,4,0,1,1
128,Bellata,1,0,0,0,0,1,0,0,0
129,Bellawongarah,0,0,0,0,0,1,0,0,0
130,Bellbird,7,0,0,0,1,3,0,0,0
131,Bellbird Heights,6,0,0,0,1,0,0,0,0
132,Bellbrook,0,0,0,0,0,1,0,0,0
133,Bellevue Hill,43,5,3,3,1,4,0,1,0
134,Bellingen,7,12,2,5,5,16,0,11,0
135,Belmont,0,8,7,17,2,20,0,8,0
136,Belmont North,46,1,0,2,1,2,0,1,0
137,Belmont South,6,1,0,0,0,0,0,1,0
138,Belmore,46,9,5,12,17,32,0,3,1
139,Belrose,35,9,4,5,3,22,0,4,0
140,Bemboka,1,2,0,0,0,0,0,1,0
141,Ben Bullen,1,0,0,0,1,0,0,0,1
142,Benandarah,1,0,0,0,0,0,0,0,0
143,Bendalong,1,0,0,0,0,0,0,0,0
144,Bendemeer,1,1,0,0,0,1,0,0,0
145,Bendick Murrell,3,0,0,0,0,0,0,0,1
146,Benerembah,0,0,0,0,0,0,1,0,0
147,Bennetts Green,3,2,0,2,11,1,0,0,0
148,Bensville,15,1,0,1,0,0,0,0,0
149,Berala,10,4,2,9,0,11,0,0,1
150,Berambing,3,1,0,0,0,0,0,0,0
151,Beresfield,26,3,1,3,24,11,0,5,1
152,Bergalia,2,0,0,0,0,0,0,0,0
153,Berkeley,2,1,0,1,0,6,0,0,0
154,Berkeley Vale,38,5,2,7,36,12,0,4,0
155,Berkshire Park,9,0,0,0,1,0,0,0,0
156,Bermagui,18,11,0,3,2,14,0,6,0
157,Berowra,23,1,1,0,3,5,0,0,0
158,Berowra Creek,0,0,0,0,0,1,0,0,0
159,Berowra Heights,23,3,2,6,1,6,0,1,0
160,Berowra Waters,1,1,0,0,0,4,0,0,0
161,Berrara,3,0,0,0,0,0,0,0,0
162,Berridale,1,1,0,1,0,2,0,1,0
163,Berrigan,0,2,0,0,4,4,0,3,0
164,Berrilee,2,0,0,0,0,0,0,0,0
165,Berrima,4,9,0,0,1,12,0,3,0
166,Berry,7,15,3,5,3,30,1,13,1
167,Bethungra,0,1,0,0,0,1,0,0,1
168,Beverley Park,11,0,0,0,1,2,0,0,0
169,Beverly Hills,38,5,5,2,0,42,0,1,1
170,Bewong,2,1,0,0,0,0,0,0,0
171,Bexley,48,8,8,12,18,23,0,0,0
172,Bexley North,32,5,1,4,1,8,0,1,1
173,Bibbenluke,1,0,0,0,0,0,0,0,0
174,Bickley Vale,2,0,0,0,0,0,0,0,0
175,Bidwill,26,1,0,1,0,2,0,0,0
176,Bigga,1,0,0,0,0,0,0,0,0
177,Bilambil,0,0,0,0,1,1,0,1,0
178,Bilambil Heights,11,1,0,0,0,1,0,0,0
179,Bilbul,1,0,0,0,0,0,0,0,0
181,Bilgola Beach,1,1,0,0,0,0,0,0,0
182,Bilgola Plateau,17,1,1,1,1,2,0,0,0
183,Billimari,0,0,0,0,0,0,0,0,1
184,Billinudgel,4,1,1,1,9,2,0,0,1
185,Bilpin,16,5,0,0,0,6,4,0,0
186,Binalong,2,1,0,0,0,1,0,0,0
187,Bingara,2,1,0,0,0,3,0,2,0
188,Biniguy,1,0,0,0,0,0,0,0,1
189,Binnaway,1,1,0,0,0,0,0,0,4
190,Binya,1,0,0,0,0,0,0,0,0
191,Birchgrove,6,2,0,1,0,2,0,1,0
192,Birmingham Gardens,14,0,1,0,1,0,0,0,0
193,Birrong,5,1,1,3,0,4,0,1,1
194,Black Head,0,1,0,0,0,0,0,0,0
195,Black Hill,3,0,0,0,0,1,1,0,0
196,Black Springs,0,0,0,0,1,0,0,0,0
197,Blackalls Park,9,0,0,2,1,1,0,0,0
198,Blackbutt,4,0,0,0,1,0,0,8,0
199,Blackett,21,0,0,0,1,1,0,0,0
200,Blackheath,59,9,1,4,1,17,0,4,1
201,Blackmans Flat,1,0,0,0,0,0,0,0,0
202,Blackmans Point,0,1,0,0,0,0,0,0,0
203,Blacksmiths,13,3,0,1,1,6,0,0,0
204,Blacktown,45,35,49,46,53,58,0,58,1
205,Blackwall,21,1,0,1,4,1,0,0,0
206,Blair Athol,7,0,1,0,0,0,0,0,0
207,Blairmount,1,0,0,0,0,0,0,0,0
208,Blakebrook,2,0,0,0,0,0,0,0,0
209,Blakehurst,39,1,2,0,2,5,0,1,0
210,Blaxland,42,4,4,9,9,23,0,1,1
211,Blayney,3,2,1,5,2,9,0,2,4
212,Bligh Park,35,1,2,2,2,6,0,0,0
213,Blighty,1,0,0,0,0,1,0,0,0
214,Blue Bay,6,1,0,0,0,0,0,0,0
215,Blue Haven,32,0,0,2,1,1,0,0,0
216,Blue Knob,2,1,0,0,0,0,0,0,0
217,Blueys Beach,1,3,0,0,0,3,0,1,0
218,Boambee,6,1,0,2,2,4,0,0,0
219,Boambee East,22,1,0,1,0,3,0,0,0
220,Boat Harbour,0,0,0,1,0,0,0,0,0
221,Bobs Farm,25,2,0,0,0,2,0,0,0
222,Bodalla,3,3,0,2,3,6,0,1,0
223,Bogan Gate,1,1,0,0,0,0,0,0,1
224,Bogangar,13,4,0,3,0,4,0,0,0
225,Boggabilla,0,1,0,0,0,0,0,0,0
226,Boggabri,1,2,0,0,0,2,0,1,1
227,Bohena Creek,0,0,0,0,1,0,0,0,0
228,Bolivia,1,0,0,0,0,0,0,0,0
229,Bolton Point,15,0,0,0,0,0,0,0,0
230,Bolwarra,5,1,0,0,0,0,0,0,0
231,Bolwarra Heights,7,0,0,1,0,0,0,0,0
232,Bomaderry,31,5,2,5,24,13,0,3,1
233,Bombala,2,1,0,1,4,3,0,0,0
234,Bombira,2,0,0,0,0,1,0,0,0
235,Bombo,1,0,0,0,0,0,0,0,1
236,Bomen,1,1,0,0,3,1,0,0,1
237,Bonalbo,0,0,0,0,0,1,0,0,0
238,Bondi,15,9,3,10,6,32,0,5,0
239,Bondi Beach,16,34,4,19,8,50,0,43,0
240,Bondi Junction,31,49,58,53,12,60,0,60,1
241,Bonnells Bay,13,2,1,1,2,6,0,0,0
242,Bonnet Bay,34,1,0,1,0,2,0,0,0
243,Bonny Hills,13,3,1,2,2,3,0,1,0
244,Bonnyrigg,8,7,5,7,7,24,0,5,0
245,Bonnyrigg Heights,44,2,0,2,1,2,0,0,0
246,Bonville,8,2,0,0,1,2,0,0,0
247,Booker Bay,14,0,0,0,0,1,0,1,0
248,Boolaroo,11,1,2,4,6,6,0,3,1
249,Boomerang Beach,0,1,1,0,0,1,0,0,0
250,Booragul,9,1,0,0,1,0,0,0,0
251,Booral,0,1,0,0,0,1,0,0,0
252,Boorooma,2,0,0,0,0,0,0,0,0
253,Boorowa,1,4,0,1,6,6,0,0,0
254,Boree Creek,0,0,0,0,0,0,0,0,2
255,Borenore,1,0,0,0,0,0,2,0,1
256,Bossley Park,39,2,6,8,2,6,0,4,0
257,Bostobrick,0,0,0,0,0,1,0,0,0
258,Botany,26,13,4,9,31,29,0,1,0
259,Bouddi,1,0,0,0,0,0,0,0,0
261,Bourkelands,8,0,0,1,0,0,0,0,0
262,Bournda,6,0,0,0,1,0,0,0,0
263,Bow Bowing,7,0,0,0,0,0,0,0,0
264,Bowen Mountain,20,0,0,0,0,0,0,1,0
265,Bowenfels,24,1,0,0,1,1,0,0,1
266,Bowning,2,1,0,0,0,2,0,0,1
267,Bowral,51,32,16,28,18,57,0,57,1
268,Bowraville,3,2,0,0,0,1,0,0,0
269,Box Hill,11,0,0,0,0,0,2,0,0
270,Bradbury,34,0,1,5,2,3,0,0,0
271,Braemar,4,0,0,0,3,0,0,0,0
272,Braidwood,2,10,1,3,5,11,0,2,0
273,Brandy Hill,0,0,0,0,0,0,0,1,0
274,Branxton,10,1,0,3,6,7,0,0,1
275,Breadalbane,0,0,0,0,0,0,0,0,2
276,Breakfast Point,1,2,1,1,0,5,0,0,0
277,Bredbo,1,2,0,0,0,2,0,0,0
279,Brewongle,0,0,0,0,0,0,0,0,1
280,Bribbaree,0,0,0,0,0,0,0,0,2
281,Bridgman,0,0,0,0,0,0,0,0,1
282,Brightwaters,2,0,1,0,0,0,0,0,0
283,Bringelly,14,1,1,0,1,0,0,0,0
284,Broadmeadow,22,4,4,3,11,15,0,1,1
285,Broadwater,0,1,0,0,0,1,0,0,0
286,Brocklehurst,0,0,0,0,4,0,0,0,1
287,Brogans Creek,0,0,0,0,0,0,0,0,1
288,Brogo,1,0,0,0,0,0,0,0,0
289,Broke,0,3,0,0,0,5,0,0,0
290,Broken Head,0,0,0,0,0,0,0,1,0
292,Bronte,18,12,5,6,1,15,1,0,0
293,Brooklyn,0,2,0,0,1,6,0,0,1
294,Brookvale,21,35,11,26,60,52,0,60,0
295,Broulee,2,2,0,1,0,2,0,0,0
296,Brownlow Hill,12,1,0,0,0,0,0,0,0
297,Brownsville,0,1,0,2,0,2,0,0,0
298,Brucedale,1,0,0,0,0,0,0,0,0
299,Brundee,1,0,0,0,0,0,0,0,0
300,Brunswick Heads,6,11,2,8,3,22,0,12,0
302,Buchanan,0,0,0,0,2,0,0,0,0
303,Buckajo,0,0,0,0,0,0,0,1,0
304,Buddabadah,0,0,0,0,0,1,0,0,0
305,Budgee Budgee,0,0,0,0,0,1,0,0,0
306,Budgewoi,31,6,2,6,2,15,0,4,0
307,Buff Point,25,0,0,1,0,3,0,0,0
308,Bugaldie,0,0,0,0,0,0,0,0,1
309,Bulahdelah,3,5,1,1,2,10,0,0,0
310,Bulga,0,1,0,0,0,0,0,0,0
311,Bullaburra,6,0,0,0,0,0,0,0,1
312,Bullarah,1,1,0,0,0,0,0,0,0
313,Bulli,20,6,0,5,1,12,1,1,1
314,Bulliac,0,0,0,0,0,0,0,0,1
315,Bumbaldry,1,0,0,0,0,0,0,0,0
316,Bundagen,0,0,0,0,1,0,0,0,0
317,Bundanoon,23,4,0,2,1,6,0,2,1
318,Bundarra,0,1,0,0,1,0,0,0,0
319,Bundeena,13,3,0,0,0,6,0,1,0
320,Bundook,0,0,0,0,0,0,0,0,2
321,Bungarribee,15,0,0,0,0,0,0,0,0
322,Bungendore,8,7,1,4,4,14,0,0,1
323,Bungonia,0,0,0,0,0,1,0,0,0
324,Bungwahl,2,0,0,0,0,0,0,0,0
325,Buronga,6,0,0,1,0,4,0,0,0
326,Burraboi,0,0,0,0,0,0,0,0,2
327,Burradoo,19,0,0,0,0,1,0,0,1
328,Burraneer,39,2,0,2,0,1,0,0,0
329,Burrawang,3,1,0,0,0,1,0,0,0
330,Burrell Creek,1,0,0,0,0,1,0,0,0
331,Burren Junction,1,0,0,0,0,0,0,0,0
332,Burrill Lake,6,2,0,2,0,3,0,1,0
333,Burringbar,2,1,0,0,3,2,0,0,0
334,Burrundulla,2,1,0,0,0,1,0,0,0
335,Burwood,31,41,52,42,9,58,0,60,1
336,Burwood Heights,3,0,0,1,1,0,0,0,0
337,Busby,16,0,2,0,0,0,0,0,0
338,Bushells Ridge,2,0,0,0,0,0,0,0,0
339,Buttaba,5,0,0,0,2,0,0,0,0
340,Buttai,1,0,0,0,0,1,0,0,0
341,Buxton,2,0,0,2,0,0,0,0,0
342,Byabarra,0,1,0,0,0,1,0,0,0
343,Bylong,0,1,0,0,0,0,0,0,0
344,Byron Bay,17,52,15,33,15,60,0,60,1
345,Bywong,0,1,0,0,0,0,0,0,0
346,Cabarita,11,1,0,0,0,3,0,0,0
347,Cabarita Beach,1,4,1,4,0,8,0,2,0
348,Cabramatta,42,29,30,26,22,58,0,27,1
349,Cabramatta West,27,1,1,2,1,7,0,1,0
350,Cabramurra,1,1,0,0,0,0,0,0,0
351,Caddens,12,1,0,0,0,0,0,1,0
352,Calala,25,1,0,2,0,3,0,0,0
353,Calderwood,1,1,0,1,0,1,0,1,0
354,Caldwell,0,0,0,0,0,0,0,0,1
356,Callaghan,1,4,0,0,0,3,0,0,0
357,Callala Bay,8,2,0,3,0,5,0,2,0
358,Callala Beach,9,1,0,0,0,1,0,0,0
359,Cambewarra,8,0,0,0,0,0,0,1,0
360,Cambewarra Village,4,0,0,0,0,0,0,0,0
361,Cambridge Gardens,12,1,0,1,0,3,0,0,0
362,Cambridge Park,35,0,1,4,2,4,0,0,0
363,Camden,22,17,16,27,3,56,0,14,0
364,Camden Head,1,0,0,0,0,0,0,0,0
365,Camden Park,3,0,0,0,0,0,0,2,0
366,Camden South,24,0,0,2,0,0,0,2,0
367,Camellia,1,2,0,0,1,1,0,0,1
368,Cameron Park,28,1,0,3,1,3,0,1,0
369,Cammeray,15,5,5,7,1,18,0,3,0
370,Campbelltown,54,50,32,46,51,59,0,60,2
371,Camperdown,23,10,0,6,10,27,1,7,0
372,Campsie,42,21,27,32,25,57,0,15,1
373,Campvale,6,0,0,0,0,1,0,0,0
374,Cams Wharf,1,1,0,0,0,1,0,0,0
375,Canada Bay,7,0,0,0,0,0,0,0,0
376,Canadian Lead,0,0,0,0,0,0,0,0,1
377,Candelo,1,1,0,0,0,1,0,0,0
378,Cangai,1,0,0,0,0,0,0,0,0
379,Canley Heights,31,10,6,5,1,35,0,0,0
380,Canley Vale,31,4,2,3,4,25,0,2,1
381,Canobolas,0,0,0,0,0,3,0,0,0
382,Canoelands,0,0,0,0,0,0,1,0,0
383,Canowindra,1,4,0,2,5,7,0,0,2
384,Canterbury,15,6,7,4,3,22,0,3,1
385,Canton Beach,4,1,0,1,0,0,0,0,0
386,Capertee,1,1,0,0,0,0,0,0,2
387,Captains Flat,0,0,0,0,0,1,0,0,0
388,Caragabal,0,0,0,0,0,0,0,0,1
389,Carcoar,2,0,0,0,0,2,0,0,1
390,Cardiff,1,5,5,9,27,16,0,0,1
391,Cardiff Heights,13,0,0,1,1,1,0,0,0
392,Cardiff South,17,0,0,2,0,1,0,0,0
393,Carey Bay,7,1,3,3,0,1,0,0,0
394,Cargo,0,1,0,0,0,0,0,0,0
395,Caringbah,46,32,18,33,46,55,0,13,1
396,Caringbah South,46,2,2,5,1,5,0,0,0
397,Carlingford,50,13,18,21,8,46,0,10,0
398,Carlton,2,9,0,10,12,0,0,1,1
399,Carnes Hill,2,4,0,4,1,15,0,0,0
400,Carool,0,0,0,0,0,1,1,0,0
401,Caroona,1,0,0,0,0,0,0,0,2
402,Carramar,10,0,0,1,0,2,0,1,1
403,Carrington,15,3,0,2,4,12,0,4,0
404,Carroll,1,0,0,0,0,0,0,1,0
405,Carrs Creek,2,0,0,0,0,0,0,0,0
406,Carss Park,8,1,0,0,2,4,0,1,0
407,Cartwright,10,0,0,0,0,0,0,0,0
408,Cartwrights Hill,2,0,0,0,0,1,0,0,0
409,Carwoola,0,0,0,1,0,0,0,0,0
410,Casino,8,8,4,9,25,0,0,8,1
411,Cassilis,0,1,0,0,0,0,0,0,0
412,Castle Cove,21,1,1,0,1,2,0,0,0
413,Castle Doyle,0,1,0,0,0,0,0,0,0
414,Castle Hill,51,50,48,40,1,57,0,60,0
415,Castlecrag,12,2,1,2,0,9,0,6,0
416,Castlereagh,0,0,0,0,1,0,0,0,0
417,Casuarina,7,4,1,0,0,11,0,0,0
418,Casula,58,10,9,8,3,34,0,7,1
419,Catalina,1,0,0,0,0,0,0,0,0
420,Catherine Field,13,1,0,1,1,1,0,0,0
421,Catherine Hill Bay,16,1,0,0,0,1,0,0,0
422,Cathundral,0,0,0,0,0,0,0,0,1
423,Cattai,9,0,0,1,0,2,0,0,0
424,Caves Beach,19,2,0,1,4,5,0,1,0
425,Cawdor,17,0,0,0,0,1,0,0,0
426,Cawongla,0,1,0,0,0,0,0,0,0
427,Cecil Hills,31,1,1,4,1,2,0,0,0
428,Cecil Park,10,0,0,0,0,0,0,0,0
429,Centennial Park,10,4,0,0,0,1,0,1,0
430,Central Mangrove,10,0,0,0,2,0,0,0,0
431,Central Tilba,1,5,0,0,0,3,0,0,0
432,Cessnock,36,18,11,19,30,47,0,13,0
433,Chain Valley Bay,16,0,0,1,1,0,0,0,0
434,Chakola,0,0,0,0,0,1,0,0,0
435,Charbon,1,0,0,0,0,0,0,0,0
436,Charles Sturt University,0,1,1,0,0,1,0,0,0
437,Charlestown,44,22,21,28,5,46,0,59,0
438,Charlotte Bay,1,0,0,1,0,0,0,0,0
439,Charmhaven,27,2,1,3,18,11,0,2,0
440,Chatswood,44,57,60,59,22,59,2,60,1
441,Chatswood West,18,0,1,1,1,1,0,0,0
442,Chatsworth,1,0,0,0,0,0,0,0,0
443,Cheero Point,1,0,0,0,0,0,0,0,0
444,Cheltenham,1,1,0,0,0,0,0,0,1
445,Cherrybrook,48,7,6,3,1,13,0,6,0
446,Chester Hill,48,7,7,9,4,27,0,11,1
447,Chifley,18,0,0,0,1,2,0,0,0
448,Chilcotts Grass,1,0,0,0,0,0,0,0,0
449,Chillingham,1,0,0,0,0,0,0,0,0
450,Chinderah,10,9,0,0,4,10,0,0,0
451,Chippendale,5,28,1,8,3,54,0,11,0
452,Chipping Norton,36,9,6,3,34,18,0,3,0
453,Chisholm,0,1,0,0,0,0,0,0,0
